,player,year,mp,fga,fg_perc,threepoint_att,threepoint_perc,twopoint_att,twopoint_perc,efg_perc,ft_perc,pts,class
6,LaMarcus Aldridge,2016-17,32.4,14.6,0.477,0.8,0.411,13.8,0.48,0.488,0.812,17.3,elite
15,Giannis Antetokounmpo,2016-17,35.6,15.7,0.521,2.3,0.272,13.5,0.563,0.541,0.77,22.9,elite
16,Carmelo Anthony,2016-17,34.3,18.8,0.433,5.7,0.359,13.1,0.466,0.488,0.833,22.4,elite
27,Harrison Barnes,2016-17,35.5,16.2,0.468,2.8,0.351,13.4,0.492,0.498,0.861,19.2,elite
35,Bradley Beal,2016-17,34.9,17.2,0.482,7.2,0.404,10.0,0.538,0.566,0.825,23.1,elite
48,Eric Bledsoe,2016-17,33.0,15.7,0.434,4.7,0.335,11.0,0.477,0.485,0.847,21.1,elite
52,Devin Booker,2016-17,35.0,18.3,0.423,5.2,0.363,13.2,0.447,0.475,0.832,22.1,elite
54,Avery Bradley,2016-17,33.4,14.1,0.463,5.0,0.39,9.1,0.504,0.533,0.731,16.3,elite
65,Jimmy Butler,2016-17,37.0,16.5,0.455,3.3,0.367,13.2,0.477,0.492,0.865,23.9,elite
86,Mike Conley,2016-17,33.2,14.6,0.46,6.1,0.408,8.6,0.497,0.545,0.859,20.5,elite
89,DeMarcus Cousins,2016-17,34.2,19.9,0.452,5.0,0.361,14.8,0.483,0.498,0.772,27.0,elite
97,Stephen Curry,2016-17,33.4,18.3,0.468,10.0,0.411,8.3,0.537,0.58,0.898,25.3,elite
99,Anthony Davis,2016-17,36.1,20.3,0.505,1.8,0.299,18.6,0.524,0.518,0.802,28.0,elite
107,DeMar DeRozan,2016-17,35.4,20.9,0.467,1.7,0.266,19.2,0.484,0.477,0.842,27.3,elite
113,Goran Dragić,2016-17,33.7,15.4,0.475,4.0,0.405,11.4,0.499,0.527,0.79,20.3,elite
118,Kevin Durant,2016-17,33.4,16.5,0.537,5.0,0.375,11.5,0.608,0.594,0.875,25.1,elite
144,Marc Gasol,2016-17,34.2,15.7,0.459,3.6,0.388,12.1,0.48,0.503,0.837,19.5,elite
146,Rudy Gay,2016-17,33.8,14.7,0.455,3.8,0.372,11.0,0.483,0.502,0.855,18.7,elite
149,Paul George,2016-17,35.9,18.0,0.461,6.6,0.393,11.4,0.501,0.534,0.898,23.7,elite
167,Blake Griffin,2016-17,34.0,15.9,0.493,1.9,0.336,14.1,0.514,0.513,0.76,21.6,elite
171,James Harden,2016-17,36.4,18.9,0.44,9.3,0.347,9.6,0.53,0.525,0.847,29.1,elite
184,Gordon Hayward,2016-17,34.5,15.8,0.471,5.1,0.398,10.7,0.506,0.536,0.844,21.9,elite
212,Kyrie Irving,2016-17,35.1,19.7,0.473,6.1,0.401,13.6,0.505,0.535,0.905,25.2,elite
216,LeBron James,2016-17,37.8,18.2,0.548,4.6,0.363,13.5,0.611,0.594,0.674,26.4,elite
249,Zach LaVine,2016-17,37.2,15.1,0.459,6.6,0.387,8.5,0.515,0.544,0.836,18.9,elite
255,Kawhi Leonard,2016-17,33.4,17.7,0.485,5.2,0.38,12.5,0.529,0.541,0.88,25.5,elite
260,Damian Lillard,2016-17,35.9,19.8,0.444,7.7,0.37,12.1,0.492,0.516,0.895,27.0,elite
265,Brook Lopez,2016-17,29.6,15.6,0.474,5.2,0.346,10.5,0.536,0.531,0.81,20.5,elite
268,Kyle Lowry,2016-17,37.4,15.3,0.464,7.8,0.412,7.5,0.518,0.569,0.819,22.4,elite
282,CJ McCollum,2016-17,35.0,18.0,0.48,5.5,0.421,12.5,0.506,0.544,0.912,23.0,elite
299,Paul Millsap,2016-17,34.0,14.1,0.442,3.5,0.311,10.6,0.486,0.481,0.768,18.1,elite
338,Jabari Parker,2016-17,33.9,16.0,0.49,3.5,0.365,12.5,0.525,0.53,0.743,20.1,elite
343,Chris Paul,2016-17,31.5,12.9,0.476,5.0,0.411,7.9,0.518,0.555,0.892,18.1,elite
355,Kristaps Porziņģis,2016-17,32.8,14.9,0.45,4.8,0.357,10.2,0.493,0.507,0.786,18.1,elite
376,Derrick Rose,2016-17,32.5,15.3,0.471,0.9,0.217,14.3,0.487,0.477,0.874,18.0,elite
387,Dennis Schröder,2016-17,31.5,15.4,0.451,3.7,0.34,11.6,0.487,0.493,0.855,17.9,elite
415,Isaiah Thomas,2016-17,33.8,19.4,0.463,8.5,0.379,10.9,0.528,0.546,0.909,28.9,elite
418,Klay Thompson,2016-17,34.0,17.6,0.468,8.3,0.414,9.3,0.516,0.565,0.853,22.3,elite
423,Karl-Anthony Towns,2016-17,37.0,18.0,0.542,3.4,0.367,14.7,0.582,0.576,0.832,25.1,elite
441,Kemba Walker,2016-17,34.7,18.3,0.444,7.6,0.399,10.7,0.476,0.527,0.847,23.2,elite
442,John Wall,2016-17,36.4,18.4,0.451,3.5,0.327,14.9,0.48,0.482,0.801,23.1,elite
447,Russell Westbrook,2016-17,34.6,24.0,0.425,7.2,0.343,16.8,0.459,0.476,0.845,31.6,elite
451,Andrew Wiggins,2016-17,37.2,19.1,0.452,3.5,0.356,15.6,0.473,0.484,0.76,23.6,elite
482,LaMarcus Aldridge,2017-18,33.5,18.0,0.51,1.2,0.293,16.7,0.526,0.52,0.837,23.1,elite
491,Giannis Antetokounmpo,2017-18,36.7,18.7,0.529,1.9,0.307,16.8,0.554,0.545,0.76,26.9,elite
506,Harrison Barnes,2017-18,34.2,15.7,0.445,4.3,0.357,11.4,0.478,0.494,0.827,18.9,elite
512,Bradley Beal,2017-18,36.3,18.1,0.46,6.5,0.375,11.6,0.507,0.527,0.791,22.6,elite
527,Eric Bledsoe,2017-18,31.4,13.4,0.473,4.9,0.347,8.5,0.545,0.536,0.795,17.7,elite
533,Devin Booker,2017-18,34.5,19.5,0.432,7.1,0.383,12.4,0.46,0.501,0.878,24.9,elite
552,Jimmy Butler,2017-18,36.7,15.6,0.474,3.4,0.35,12.2,0.509,0.512,0.854,22.2,elite
585,DeMarcus Cousins,2017-18,36.2,18.0,0.47,6.1,0.354,11.9,0.53,0.53,0.746,25.2,elite
593,Stephen Curry,2017-18,32.0,16.9,0.495,9.8,0.423,7.1,0.595,0.618,0.921,26.4,elite
595,Anthony Davis,2017-18,36.4,19.5,0.534,2.2,0.34,17.3,0.558,0.552,0.828,28.1,elite
602,DeMar DeRozan,2017-18,33.9,17.7,0.456,3.6,0.31,14.1,0.494,0.488,0.825,23.0,elite
609,Goran Dragić,2017-18,31.7,14.3,0.45,4.0,0.37,10.3,0.481,0.502,0.801,17.3,elite
614,Kevin Durant,2017-18,34.2,18.0,0.516,6.1,0.419,11.9,0.565,0.586,0.889,26.4,elite
618,Joel Embiid,2017-18,30.3,16.8,0.483,3.4,0.308,13.4,0.527,0.514,0.769,22.9,elite
622,Tyreke Evans,2017-18,30.9,15.6,0.452,5.5,0.399,10.1,0.482,0.523,0.785,19.4,elite
633,Evan Fournier,2017-18,32.2,14.1,0.459,5.9,0.379,8.2,0.516,0.538,0.867,17.8,elite
644,Paul George,2017-18,36.6,17.0,0.43,7.7,0.401,9.3,0.454,0.521,0.822,21.9,elite
662,Blake Griffin,2017-18,34.0,17.2,0.438,5.6,0.345,11.6,0.482,0.493,0.785,21.4,elite
665,James Harden,2017-18,35.4,20.1,0.449,10.0,0.367,10.1,0.531,0.541,0.858,30.4,elite
669,Gary Harris,2017-18,34.4,13.6,0.485,5.9,0.396,7.7,0.553,0.57,0.827,17.5,elite
671,Tobias Harris,2017-18,33.4,15.3,0.46,5.6,0.411,9.7,0.488,0.535,0.829,18.6,elite
690,Jrue Holiday,2017-18,36.1,15.4,0.494,4.4,0.337,11.0,0.557,0.543,0.786,19.0,elite
707,Kyrie Irving,2017-18,32.2,18.1,0.491,6.8,0.408,11.3,0.541,0.568,0.889,24.4,elite
715,LeBron James,2017-18,36.9,19.3,0.542,5.0,0.367,14.3,0.603,0.59,0.731,27.5,elite
730,Nikola Jokić,2017-18,32.6,13.5,0.499,3.7,0.396,9.7,0.538,0.554,0.85,18.5,elite
763,Damian Lillard,2017-18,36.6,19.4,0.439,8.6,0.361,10.8,0.501,0.519,0.916,26.9,elite
785,CJ McCollum,2017-18,36.1,18.6,0.443,5.9,0.397,12.7,0.465,0.506,0.836,21.4,elite
797,Khris Middleton,2017-18,36.4,15.5,0.466,5.0,0.359,10.5,0.517,0.524,0.884,20.1,elite
804,Donovan Mitchell,2017-18,33.4,17.2,0.437,7.0,0.34,10.3,0.502,0.506,0.805,20.5,elite
840,Victor Oladipo,2017-18,34.0,17.9,0.477,5.8,0.371,12.1,0.528,0.537,0.799,23.1,elite
852,Chris Paul,2017-18,31.8,13.8,0.46,6.5,0.38,7.2,0.532,0.55,0.919,18.6,elite
866,Kristaps Porziņģis,2017-18,32.4,18.5,0.439,4.8,0.395,13.8,0.454,0.489,0.793,22.7,elite
897,Dennis Schröder,2017-18,31.0,17.1,0.436,3.9,0.29,13.2,0.48,0.469,0.849,19.4,elite
932,Klay Thompson,2017-18,34.3,16.2,0.488,7.1,0.44,9.0,0.526,0.585,0.837,20.0,elite
936,Karl-Anthony Towns,2017-18,35.6,14.3,0.545,3.5,0.421,10.8,0.585,0.596,0.858,21.3,elite
947,Nikola Vučević,2017-18,29.5,14.7,0.475,3.6,0.314,11.2,0.527,0.513,0.819,16.5,elite
950,Kemba Walker,2017-18,34.2,17.0,0.431,7.5,0.384,9.5,0.469,0.516,0.864,22.1,elite
951,John Wall,2017-18,34.4,16.3,0.42,4.1,0.371,12.2,0.436,0.466,0.726,19.4,elite
955,T.J. Warren,2017-18,33.0,16.4,0.498,1.4,0.222,15.0,0.523,0.507,0.757,19.6,elite
960,Russell Westbrook,2017-18,36.4,21.1,0.449,4.1,0.298,17.0,0.485,0.477,0.737,25.4,elite
966,Andrew Wiggins,2017-18,36.3,15.9,0.438,4.1,0.331,11.7,0.475,0.481,0.643,17.7,elite
971,Lou Williams,2017-18,32.8,16.9,0.435,6.6,0.359,10.4,0.484,0.505,0.88,22.6,elite
999,LaMarcus Aldridge,2018-19,33.2,16.3,0.519,0.5,0.238,15.8,0.528,0.522,0.847,21.3,elite
1009,Giannis Antetokounmpo,2018-19,32.8,17.3,0.578,2.8,0.256,14.5,0.641,0.599,0.729,27.7,elite
1030,Bradley Beal,2018-19,36.9,19.6,0.475,7.3,0.351,12.4,0.548,0.54,0.808,25.6,elite
1051,Devin Booker,2018-19,35.0,19.6,0.467,6.5,0.326,13.1,0.536,0.521,0.866,26.6,elite
1074,Jimmy Butler,2018-19,33.6,13.9,0.462,3.0,0.347,10.9,0.494,0.499,0.855,18.7,elite
1101,Mike Conley,2018-19,33.5,16.0,0.438,6.1,0.364,9.9,0.483,0.507,0.845,21.1,elite
1113,Stephen Curry,2018-19,33.8,19.4,0.472,11.7,0.437,7.7,0.525,0.604,0.916,27.3,elite
1115,Anthony Davis,2018-19,33.0,18.3,0.517,2.6,0.331,15.7,0.547,0.54,0.794,25.9,elite
1122,DeMar DeRozan,2018-19,34.9,17.1,0.481,0.6,0.156,16.5,0.492,0.483,0.83,21.2,elite
1129,Luka Dončić,2018-19,32.2,16.5,0.427,7.1,0.327,9.3,0.503,0.497,0.713,21.2,elite
1134,Andre Drummond,2018-19,33.5,13.3,0.533,0.5,0.132,12.8,0.548,0.536,0.59,17.3,elite
1137,Kevin Durant,2018-19,34.6,17.7,0.521,5.0,0.353,12.8,0.587,0.571,0.885,26.0,elite
1141,Joel Embiid,2018-19,33.7,18.7,0.484,4.1,0.3,14.6,0.535,0.517,0.804,27.5,elite
1164,Danilo Gallinari,2018-19,30.3,13.0,0.463,5.5,0.433,7.5,0.484,0.554,0.904,19.8,elite
1170,Paul George,2018-19,36.9,21.0,0.438,9.8,0.386,11.1,0.484,0.529,0.839,28.0,elite
1189,Blake Griffin,2018-19,35.0,17.9,0.462,7.0,0.362,10.9,0.525,0.532,0.753,24.5,elite
1192,James Harden,2018-19,36.8,24.5,0.442,13.2,0.368,11.3,0.528,0.541,0.879,36.1,elite
1198,Tobias Harris,2018-19,34.7,15.3,0.487,4.8,0.397,10.5,0.528,0.549,0.866,20.0,elite
1210,Buddy Hield,2018-19,31.9,16.6,0.458,7.9,0.427,8.6,0.487,0.56,0.886,20.7,elite
1216,Jrue Holiday,2018-19,35.9,17.3,0.472,5.4,0.325,11.9,0.539,0.523,0.768,21.2,elite
1232,Brandon Ingram,2018-19,33.8,14.0,0.497,1.8,0.33,12.2,0.521,0.518,0.675,18.3,elite
1233,Kyrie Irving,2018-19,33.0,18.5,0.487,6.5,0.401,12.0,0.533,0.557,0.873,23.8,elite
1242,LeBron James,2018-19,35.2,19.9,0.51,5.9,0.339,14.0,0.582,0.56,0.665,27.4,elite
1253,Nikola Jokić,2018-19,31.3,15.1,0.511,3.4,0.307,11.7,0.569,0.545,0.821,20.1,elite
1272,Kyle Kuzma,2018-19,33.1,15.5,0.456,6.0,0.303,9.5,0.553,0.515,0.752,18.7,elite
1275,Zach LaVine,2018-19,34.5,18.0,0.467,5.1,0.374,12.9,0.504,0.52,0.832,23.7,elite
1282,Kawhi Leonard,2018-19,34.0,18.8,0.496,5.0,0.371,13.8,0.542,0.546,0.854,26.6,elite
1286,Damian Lillard,2018-19,35.5,19.2,0.444,8.0,0.369,11.1,0.499,0.522,0.912,25.8,elite
1304,Lauri Markkanen,2018-19,32.3,15.3,0.43,6.4,0.361,8.9,0.479,0.506,0.872,18.7,elite
1310,CJ McCollum,2018-19,33.9,17.8,0.459,6.4,0.375,11.4,0.506,0.527,0.828,21.0,elite
1322,Khris Middleton,2018-19,31.1,14.9,0.441,6.2,0.378,8.8,0.485,0.519,0.837,18.3,elite
1330,Donovan Mitchell,2018-19,33.7,19.9,0.432,6.7,0.362,13.1,0.468,0.493,0.806,23.8,elite
1343,Jamal Murray,2018-19,32.6,15.6,0.437,5.5,0.367,10.1,0.476,0.502,0.848,18.2,elite
1365,Victor Oladipo,2018-19,31.9,16.3,0.423,6.0,0.343,10.3,0.47,0.486,0.73,18.8,elite
1392,Julius Randle,2018-19,30.6,14.9,0.524,2.7,0.344,12.2,0.564,0.555,0.731,21.4,elite
1405,Derrick Rose,2018-19,27.3,14.8,0.482,2.9,0.37,11.9,0.509,0.518,0.856,18.0,elite
1409,D'Angelo Russell,2018-19,30.2,18.7,0.434,7.8,0.369,10.9,0.482,0.512,0.78,21.1,elite
1449,Klay Thompson,2018-19,34.0,18.0,0.467,7.7,0.402,10.3,0.516,0.553,0.816,21.5,elite
1453,Karl-Anthony Towns,2018-19,33.1,17.1,0.518,4.6,0.4,12.5,0.562,0.572,0.836,24.4,elite
1464,Nikola Vučević,2018-19,31.4,16.9,0.518,2.9,0.364,14.0,0.549,0.549,0.789,20.8,elite
1468,Kemba Walker,2018-19,34.9,20.5,0.434,8.9,0.356,11.6,0.494,0.511,0.844,25.6,elite
1470,John Wall,2018-19,34.5,17.3,0.444,5.3,0.302,12.0,0.507,0.49,0.697,20.7,elite
1473,T.J. Warren,2018-19,31.6,14.2,0.486,4.2,0.428,10.0,0.51,0.549,0.815,18.0,elite
1477,Russell Westbrook,2018-19,36.0,20.2,0.428,5.6,0.29,14.5,0.481,0.468,0.656,22.9,elite
1481,Andrew Wiggins,2018-19,34.8,16.6,0.412,4.8,0.339,11.8,0.441,0.461,0.699,18.1,elite
1504,LaMarcus Aldridge,2019-20,33.1,15.0,0.493,3.0,0.389,12.0,0.519,0.532,0.827,18.9,elite
1512,Giannis Antetokounmpo,2019-20,30.4,19.7,0.553,4.7,0.304,15.0,0.631,0.589,0.633,29.5,elite
1520,Deandre Ayton,2019-20,32.5,14.9,0.546,0.3,0.231,14.6,0.553,0.548,0.753,18.2,elite
1534,Bradley Beal,2019-20,36.0,22.9,0.455,8.4,0.353,14.4,0.515,0.52,0.842,30.5,elite
1548,Bojan Bogdanović,2019-20,33.1,14.8,0.447,7.3,0.414,7.6,0.479,0.548,0.903,20.2,elite
1553,Devin Booker,2019-20,35.9,18.3,0.489,5.7,0.354,12.6,0.549,0.544,0.919,26.6,elite
1570,Jaylen Brown,2019-20,33.9,15.6,0.481,5.9,0.382,9.6,0.543,0.554,0.724,20.3,elite
1580,Jimmy Butler,2019-20,33.8,13.1,0.455,2.1,0.244,11.0,0.495,0.474,0.834,19.9,elite
1619,Anthony Davis,2019-20,34.4,17.7,0.503,3.5,0.33,14.2,0.546,0.536,0.846,26.1,elite
1624,DeMar DeRozan,2019-20,34.1,15.4,0.531,0.5,0.257,14.9,0.54,0.535,0.845,22.1,elite
1628,Spencer Dinwiddie,2019-20,31.2,16.0,0.415,6.3,0.308,9.7,0.485,0.476,0.778,20.6,elite
1630,Luka Dončić,2019-20,33.6,20.6,0.463,8.9,0.316,11.7,0.574,0.531,0.758,28.8,elite
1636,Andre Drummond,2019-20,33.0,13.8,0.533,0.6,0.143,13.1,0.551,0.536,0.575,17.7,elite
1642,Joel Embiid,2019-20,29.5,15.7,0.477,3.4,0.331,12.3,0.517,0.512,0.807,23.0,elite
1655,Evan Fournier,2019-20,31.5,14.1,0.467,6.6,0.399,7.5,0.527,0.56,0.818,18.5,elite
1656,De'Aaron Fox,2019-20,32.0,16.0,0.48,3.6,0.292,12.4,0.535,0.513,0.705,21.1,elite
1669,Paul George,2019-20,29.6,16.3,0.439,7.9,0.412,8.4,0.464,0.539,0.876,21.5,elite
1672,Shai Gilgeous-Alexander,2019-20,34.7,14.5,0.471,3.6,0.347,10.9,0.512,0.514,0.807,19.0,elite
1693,James Harden,2019-20,36.5,22.3,0.444,12.4,0.355,9.9,0.556,0.543,0.865,34.3,elite
1699,Tobias Harris,2019-20,34.3,16.3,0.471,5.0,0.367,11.3,0.517,0.527,0.806,19.6,elite
1705,Gordon Hayward,2019-20,33.5,13.5,0.5,4.3,0.383,9.2,0.554,0.561,0.855,17.5,elite
1713,Buddy Hield,2019-20,30.8,16.1,0.429,9.6,0.394,6.6,0.479,0.545,0.846,19.2,elite
1718,Jrue Holiday,2019-20,34.7,16.5,0.455,5.7,0.353,10.8,0.509,0.516,0.709,19.1,elite
1734,Brandon Ingram,2019-20,33.9,17.7,0.463,6.2,0.391,11.5,0.501,0.531,0.851,23.8,elite
1735,Kyrie Irving,2019-20,32.9,20.8,0.478,7.1,0.394,13.7,0.522,0.546,0.922,27.4,elite
1744,LeBron James,2019-20,34.6,19.4,0.493,6.3,0.348,13.1,0.564,0.55,0.693,25.3,elite
1755,Nikola Jokić,2019-20,32.0,14.7,0.528,3.5,0.314,11.2,0.594,0.565,0.817,19.9,elite
1779,Zach LaVine,2019-20,34.8,20.0,0.45,8.1,0.38,11.9,0.497,0.526,0.802,25.5,elite
1787,Kawhi Leonard,2019-20,32.4,19.9,0.47,5.7,0.378,14.2,0.506,0.524,0.886,27.1,elite
1790,Damian Lillard,2019-20,37.5,20.4,0.463,10.2,0.401,10.2,0.524,0.563,0.888,30.0,elite
1795,Kevin Love,2019-20,31.8,13.0,0.45,7.0,0.374,6.0,0.537,0.55,0.854,17.6,elite
