,player,year,g,mp,per,bpm,vorp,class
0,Giannis Antetokounmpo,2016-17,80.0,35.6,26.1,7.3,6.7,elite
1,Jimmy Butler,2016-17,76.0,37.0,25.1,7.3,6.6,elite
2,Mike Conley,2016-17,69.0,33.2,23.2,6.8,5.1,elite
3,DeMarcus Cousins,2016-17,72.0,34.2,25.8,6.8,5.5,elite
4,Stephen Curry,2016-17,79.0,33.4,24.6,6.9,5.9,elite
5,Anthony Davis,2016-17,75.0,36.1,27.5,5.9,5.4,elite
6,Kevin Durant,2016-17,62.0,33.4,27.6,8.9,5.7,elite
7,James Harden,2016-17,81.0,36.4,27.4,8.7,8.0,elite
8,LeBron James,2016-17,74.0,37.8,27.0,7.6,6.7,elite
9,Nikola Jokić,2016-17,73.0,27.9,26.3,7.3,4.8,elite
10,Kawhi Leonard,2016-17,74.0,33.4,27.6,9.4,7.1,elite
11,Damian Lillard,2016-17,75.0,35.9,24.1,5.0,4.8,elite
12,Kyle Lowry,2016-17,60.0,37.4,22.9,6.1,4.6,elite
13,Chris Paul,2016-17,61.0,31.5,26.2,8.7,5.2,elite
14,Isaiah Thomas,2016-17,76.0,33.8,26.5,6.7,5.6,elite
15,Karl-Anthony Towns,2016-17,82.0,37.0,25.9,4.7,5.2,elite
16,John Wall,2016-17,78.0,36.4,23.2,4.7,4.8,elite
17,Russell Westbrook,2016-17,81.0,34.6,30.6,11.1,9.3,elite
18,Giannis Antetokounmpo,2017-18,75.0,36.7,27.3,6.2,5.7,elite
19,Jimmy Butler,2017-18,59.0,36.7,23.7,5.8,4.2,elite
20,Stephen Curry,2017-18,51.0,32.0,28.2,7.7,4.0,elite
21,Anthony Davis,2017-18,75.0,36.4,28.9,6.7,5.9,elite
22,Kevin Durant,2017-18,68.0,34.2,26.0,7.3,5.5,elite
23,James Harden,2017-18,72.0,35.4,29.8,9.9,7.7,elite
24,Kyrie Irving,2017-18,60.0,32.2,25.0,7.3,4.5,elite
25,LeBron James,2017-18,82.0,36.9,28.6,8.7,8.2,elite
26,Nikola Jokić,2017-18,75.0,32.6,24.4,6.9,5.5,elite
27,Damian Lillard,2017-18,73.0,36.6,25.2,7.2,6.3,elite
28,Victor Oladipo,2017-18,75.0,34.0,23.1,5.8,5.0,elite
29,Chris Paul,2017-18,58.0,31.8,24.4,7.1,4.2,elite
30,Karl-Anthony Towns,2017-18,82.0,35.6,24.9,5.1,5.2,elite
31,Russell Westbrook,2017-18,80.0,36.4,24.7,6.3,6.1,elite
32,Giannis Antetokounmpo,2018-19,72.0,32.8,30.9,10.4,7.4,elite
33,Stephen Curry,2018-19,69.0,33.8,24.4,6.6,5.1,elite
34,Anthony Davis,2018-19,56.0,33.0,30.3,9.4,5.3,elite
35,Kevin Durant,2018-19,78.0,34.6,24.2,5.5,5.1,elite
36,Paul George,2018-19,77.0,36.9,23.3,7.2,6.6,elite
37,Rudy Gobert,2018-19,81.0,31.8,24.6,5.4,4.8,elite
38,James Harden,2018-19,78.0,36.8,30.6,11.0,9.3,elite
39,Kyrie Irving,2018-19,67.0,33.0,24.3,7.2,5.1,elite
