,player,year,drb,stl,blk,class
15,Giannis Antetokounmpo,2016-17,7.0,1.6,1.9,elite
89,DeMarcus Cousins,2016-17,8.9,1.4,1.3,elite
99,Anthony Davis,2016-17,9.5,1.3,2.2,elite
110,Gorgui Dieng,2016-17,5.6,1.1,1.2,elite
114,Andre Drummond,2016-17,9.5,1.5,1.1,elite
118,Kevin Durant,2016-17,7.6,1.1,1.6,elite
123,Joel Embiid,2016-17,5.9,0.9,2.5,elite
155,Rudy Gobert,2016-17,8.9,0.6,2.6,elite
164,Draymond Green,2016-17,6.6,2.0,1.4,elite
205,Dwight Howard,2016-17,8.7,0.9,1.2,elite
220,LeBron James,2016-17,7.3,1.2,0.6,elite
240,DeAndre Jordan,2016-17,10.1,0.6,1.7,elite
272,Kevin Love,2016-17,8.6,0.9,0.4,elite
305,Paul Millsap,2016-17,6.1,1.3,0.9,elite
433,Karl-Anthony Towns,2016-17,8.7,0.7,1.3,elite
436,Myles Turner,2016-17,5.6,0.9,2.1,elite
447,Nikola Vučević,2016-17,8.0,1.0,1.0,elite
460,Hassan Whiteside,2016-17,10.3,0.7,2.1,elite
501,Giannis Antetokounmpo,2017-18,8.0,1.5,1.4,elite
570,Clint Capela,2017-18,7.6,0.8,1.9,elite
597,DeMarcus Cousins,2017-18,10.7,1.6,1.6,elite
607,Anthony Davis,2017-18,8.6,1.5,2.6,elite
625,Andre Drummond,2017-18,10.9,1.5,1.6,elite
628,Kevin Durant,2017-18,6.4,0.7,1.8,elite
632,Joel Embiid,2017-18,8.7,0.6,1.8,elite
664,Rudy Gobert,2017-18,7.8,0.8,2.3,elite
673,Draymond Green,2017-18,6.6,1.4,1.3,elite
715,Dwight Howard,2017-18,9.3,0.6,1.6,elite
734,LeBron James,2017-18,7.5,1.4,0.9,elite
749,Nikola Jokić,2017-18,8.1,1.2,0.8,elite
754,DeAndre Jordan,2017-18,10.9,0.5,0.9,elite
859,Jusuf Nurkić,2017-18,6.6,0.8,1.4,elite
896,Kristaps Porziņģis,2017-18,5.3,0.8,2.4,elite
936,Ben Simmons,2017-18,6.3,1.7,0.9,elite
969,Karl-Anthony Towns,2017-18,9.4,0.8,1.4,elite
980,Nikola Vučević,2017-18,7.4,1.0,1.1,elite
998,Hassan Whiteside,2017-18,8.2,0.7,1.7,elite
1043,Giannis Antetokounmpo,2018-19,10.3,1.3,1.5,elite
1050,Deandre Ayton,2018-19,7.1,0.9,0.9,elite
1114,Clint Capela,2018-19,8.2,0.7,1.5,elite
1140,DeMarcus Cousins,2018-19,6.8,1.3,1.5,elite
1141,Robert Covington,2018-19,4.7,2.1,1.3,elite
1151,Anthony Davis,2018-19,8.9,1.6,2.4,elite
1155,Dewayne Dedmon,2018-19,5.9,1.1,1.1,elite
1172,Andre Drummond,2018-19,10.2,1.7,1.7,elite
1180,Joel Embiid,2018-19,11.1,0.7,1.9,elite
1206,Marc Gasol,2018-19,6.9,1.1,1.1,elite
1213,Rudy Gobert,2018-19,9.0,0.8,2.3,elite
1224,Draymond Green,2018-19,6.4,1.4,1.1,elite
1284,LeBron James,2018-19,7.4,1.3,0.6,elite
1295,Nikola Jokić,2018-19,8.0,1.4,0.7,elite
1302,DeAndre Jordan,2018-19,9.8,0.6,1.1,elite
1406,Jusuf Nurkić,2018-19,7.0,1.0,1.4,elite
1474,Ben Simmons,2018-19,6.6,1.4,0.8,elite
1506,Karl-Anthony Towns,2018-19,9.0,0.9,1.6,elite
1511,Myles Turner,2018-19,5.8,0.8,2.7,elite
1518,Nikola Vučević,2018-19,9.2,1.0,1.1,elite
1531,Russell Westbrook,2018-19,9.6,1.9,0.5,elite
1534,Hassan Whiteside,2018-19,7.8,0.6,1.9,elite
1557,Bam Adebayo,2019-20,7.8,1.1,1.3,elite
1568,Giannis Antetokounmpo,2019-20,11.4,1.0,1.0,elite
1576,Deandre Ayton,2019-20,7.6,0.7,1.5,elite
1642,Clint Capela,2019-20,9.5,0.8,1.8,elite
1663,John Collins,2019-20,7.3,0.8,1.6,elite
1669,Robert Covington,2019-20,5.7,1.6,1.3,elite
1678,Anthony Davis,2019-20,7.0,1.5,2.3,elite
1695,Andre Drummond,2019-20,10.8,1.9,1.6,elite
1701,Joel Embiid,2019-20,8.9,0.9,1.3,elite
1732,Rudy Gobert,2019-20,10.1,0.8,2.0,elite
1798,Jonathan Isaac,2019-20,5.1,1.6,2.3,elite
1817,Nikola Jokić,2019-20,7.5,1.2,0.6,elite
1929,Jusuf Nurkić,2019-20,7.4,1.4,2.0,elite
1966,Kristaps Porziņģis,2019-20,7.7,0.7,2.0,elite
1991,Domantas Sabonis,2019-20,9.4,0.8,0.5,elite
2004,Pascal Siakam,2019-20,6.3,1.0,0.9,elite
2019,Jayson Tatum,2019-20,6.0,1.4,0.9,elite
2032,Karl-Anthony Towns,2019-20,8.1,0.9,1.2,elite
2046,Nikola Vučević,2019-20,8.6,0.9,0.8,elite
2064,Hassan Whiteside,2019-20,9.7,0.4,2.9,elite
2088,Bam Adebayo,2020-21,6.7,1.2,1.0,elite
2096,Giannis Antetokounmpo,2020-21,9.4,1.2,1.2,elite
2175,Clint Capela,2020-21,9.6,0.7,2.0,elite
2195,Robert Covington,2020-21,5.8,1.4,1.2,elite
2202,Anthony Davis,2020-21,6.2,1.3,1.6,elite
2221,Andre Drummond,2020-21,8.4,1.4,1.1,elite
2230,Joel Embiid,2020-21,8.4,1.0,1.4,elite
2264,Rudy Gobert,2020-21,10.1,0.6,2.7,elite
2285,James Harden,2020-21,7.1,1.2,0.8,elite
2336,LeBron James,2020-21,7.0,1.1,0.6,elite
2347,Nikola Jokić,2020-21,8.0,1.3,0.7,elite
2452,Nerlens Noel,2020-21,4.2,1.1,2.2,elite
2457,Jusuf Nurkić,2020-21,6.6,1.0,1.1,elite
2505,Julius Randle,2020-21,9.0,0.9,0.3,elite
2520,Mitchell Robinson,2020-21,4.5,1.1,1.5,elite
2528,Domantas Sabonis,2020-21,9.5,1.2,0.5,elite
2575,Karl-Anthony Towns,2020-21,7.9,0.8,1.1,elite
2579,Myles Turner,2020-21,5.2,0.9,3.4,elite
2588,Nikola Vučević,2020-21,9.6,0.9,0.7,elite
2596,P.J. Washington,2020-21,5.1,1.1,1.2,elite
2601,Russell Westbrook,2020-21,9.9,1.4,0.4,elite
2618,Christian Wood,2020-21,7.8,0.8,1.2,elite
2,Steven Adams,2016-17,4.2,1.1,1.0,great
6,LaMarcus Aldridge,2016-17,4.9,0.6,1.2,great
9,Al-Farouq Aminu,2016-17,6.1,1.0,0.7,great
45,Bismack Biyombo,2016-17,5.1,0.3,1.1,great
50,Andrew Bogut,2016-17,6.0,0.5,0.9,great
70,Clint Capela,2016-17,5.4,0.5,1.2,great
76,Tyson Chandler,2016-17,8.2,0.7,0.5,great
102,Dewayne Dedmon,2016-17,4.8,0.5,0.8,great
145,Marc Gasol,2016-17,5.5,0.9,1.3,great
146,Pau Gasol,2016-17,6.2,0.4,1.1,great
153,Taj Gibson,2016-17,4.2,0.5,0.8,great
159,Marcin Gortat,2016-17,7.5,0.5,0.7,great
187,John Henson,2016-17,3.5,0.5,1.3,great
201,Richaun Holmes,2016-17,3.8,0.7,1.0,great
203,Al Horford,2016-17,5.4,0.8,1.3,great
210,Serge Ibaka,2016-17,5.2,0.5,1.6,great
