ID,Player,Season
1,Álex Abrines,2016-17
2,Quincy Acy,2016-17
3,Steven Adams,2016-17
4,Arron Afflalo,2016-17
5,Alexis Ajinça,2016-17
6,Cole Aldrich,2016-17
7,LaMarcus Aldridge,2016-17
8,Lavoy Allen,2016-17
9,Tony Allen,2016-17
10,Al-Farouq Aminu,2016-17
11,Chris Andersen,2016-17
12,Alan Anderson,2016-17
13,Justin Anderson,2016-17
14,Kyle Anderson,2016-17
15,Ryan Anderson,2016-17
16,Giannis Antetokounmpo,2016-17
17,Carmelo Anthony,2016-17
18,Joel Anthony,2016-17
19,Trevor Ariza,2016-17
20,Darrell Arthur,2016-17
21,Ömer Aşık,2016-17
22,D.J. Augustin,2016-17
23,Luke Babbitt,2016-17
24,Ron Baker,2016-17
25,Wade Baldwin,2016-17
26,Leandro Barbosa,2016-17
27,J.J. Barea,2016-17
28,Harrison Barnes,2016-17
29,Matt Barnes,2016-17
30,Will Barton,2016-17
31,Brandon Bass,2016-17
32,Nicolas Batum,2016-17
33,Jerryd Bayless,2016-17
34,Aron Baynes,2016-17
35,Kent Bazemore,2016-17
36,Bradley Beal,2016-17
37,Malik Beasley,2016-17
38,Michael Beasley,2016-17
39,Marco Belinelli,2016-17
40,DeAndre' Bembry,2016-17
41,Dragan Bender,2016-17
42,Anthony Bennett,2016-17
43,Ben Bentil,2016-17
44,Dāvis Bertāns,2016-17
45,Patrick Beverley,2016-17
46,Bismack Biyombo,2016-17
47,Nemanja Bjelica,2016-17
48,Tarik Black,2016-17
49,Eric Bledsoe,2016-17
50,Bojan Bogdanović,2016-17
51,Andrew Bogut,2016-17
52,Joel Bolomboy,2016-17
53,Devin Booker,2016-17
54,Trevor Booker,2016-17
55,Avery Bradley,2016-17
56,Corey Brewer,2016-17
57,Malcolm Brogdon,2016-17
58,Aaron Brooks,2016-17
59,Anthony Brown,2016-17
60,Bobby Brown,2016-17
61,Jaylen Brown,2016-17
62,Nicolás Brussino,2016-17
63,Reggie Bullock,2016-17
64,Trey Burke,2016-17
65,Alec Burks,2016-17
66,Jimmy Butler,2016-17
67,Bruno Caboclo,2016-17
68,José Calderón,2016-17
69,Kentavious Caldwell-Pope,2016-17
70,Isaiah Canaan,2016-17
71,Clint Capela,2016-17
72,DeMarre Carroll,2016-17
73,Vince Carter,2016-17
74,Michael Carter-Williams,2016-17
75,Omri Casspi,2016-17
76,Willie Cauley-Stein,2016-17
77,Tyson Chandler,2016-17
78,Wilson Chandler,2016-17
79,Marquese Chriss,2016-17
