,Player,Season,class,G,MP,PER,BPM,VORP
0,Álex Abrines,2016-17,0.0,68.0,15.5,10.1,-1.6,0.1
7,Lavoy Allen,2016-17,0.0,61.0,14.3,11.6,-1.7,0.1
9,Al-Farouq Aminu,2016-17,0.0,61.0,29.1,11.3,-1.1,0.4
12,Justin Anderson,2016-17,0.0,75.0,16.4,13.9,-1.3,0.2
28,Matt Barnes,2016-17,0.0,74.0,24.0,10.3,-1.4,0.3
33,Aron Baynes,2016-17,0.0,75.0,15.5,13.1,-2.7,-0.2
34,Kent Bazemore,2016-17,0.0,73.0,26.9,11.5,-1.0,0.5
38,Marco Belinelli,2016-17,0.0,74.0,24.0,13.3,-1.1,0.4
43,Dāvis Bertāns,2016-17,0.0,67.0,12.1,12.9,1.3,0.7
46,Nemanja Bjelica,2016-17,0.0,65.0,18.3,11.0,-1.6,0.1
47,Tarik Black,2016-17,0.0,67.0,16.3,15.0,-3.2,-0.3
49,Bojan Bogdanović,2016-17,0.0,81.0,25.7,13.5,-2.2,-0.1
75,Willie Cauley-Stein,2016-17,0.0,75.0,18.9,16.3,-1.0,0.3
78,Marquese Chriss,2016-17,0.0,82.0,21.3,12.3,-2.2,-0.1
81,Ian Clark,2016-17,0.0,77.0,14.8,13.1,-1.5,0.1
82,Jordan Clarkson,2016-17,0.0,82.0,29.2,13.2,-2.5,-0.3
91,Allen Crabbe,2016-17,0.0,79.0,28.5,11.6,-1.3,0.4
92,Jamal Crawford,2016-17,0.0,82.0,26.3,12.0,-2.1,0.0
95,Dante Cunningham,2016-17,0.0,66.0,25.0,10.2,-1.6,0.2
98,Troy Daniels,2016-17,0.0,67.0,17.7,10.4,-1.8,0.0
103,Sam Dekker,2016-17,0.0,77.0,18.4,13.1,-0.2,0.6
106,Luol Deng,2016-17,0.0,56.0,26.5,10.1,-2.1,0.0
111,Spencer Dinwiddie,2016-17,0.0,59.0,22.6,12.7,-1.0,0.4
115,Jared Dudley,2016-17,0.0,64.0,21.3,10.6,-1.0,0.3
116,Mike Dunleavy,2016-17,0.0,53.0,15.9,10.1,-1.4,0.1
124,James Ennis III,2016-17,0.0,64.0,23.5,10.6,-1.2,0.3
132,Cristiano Felício,2016-17,0.0,66.0,15.8,15.3,-0.7,0.3
133,Raymond Felton,2016-17,0.0,80.0,21.3,10.9,-1.3,0.3
134,Yogi Ferrell,2016-17,0.0,46.0,26.0,13.1,-1.1,0.3
143,Langston Galloway,2016-17,0.0,74.0,20.2,10.4,-2.3,-0.1
153,Taj Gibson,2016-17,0.0,78.0,25.5,15.0,-1.5,0.2
161,Jerami Grant,2016-17,0.0,80.0,19.1,10.1,-1.3,0.3
162,Jerian Grant,2016-17,0.0,63.0,16.3,13.2,0.1,0.6
169,Justin Hamilton,2016-17,0.0,64.0,18.4,13.6,-0.8,0.4
176,Devin Harris,2016-17,0.0,65.0,16.7,13.8,-0.4,0.4
187,John Henson,2016-17,0.0,58.0,19.4,15.3,-1.6,0.1
188,Juancho Hernangómez,2016-17,0.0,62.0,13.6,13.4,-0.1,0.4
192,Buddy Hield,2016-17,0.0,82.0,23.0,11.8,-2.0,0.0
199,Justin Holiday,2016-17,0.0,82.0,20.0,12.7,-0.3,0.7
200,Rondae Hollis-Jefferson,2016-17,0.0,78.0,22.6,13.7,-1.3,0.3
202,Rodney Hood,2016-17,0.0,59.0,27.0,12.4,-0.9,0.4
208,Kris Humphries,2016-17,0.0,56.0,12.3,13.6,-2.0,0.0
221,Al Jefferson,2016-17,0.0,66.0,14.1,18.9,-1.4,0.1
224,Brandon Jennings,2016-17,0.0,81.0,22.2,12.1,-2.4,-0.2
241,Cory Joseph,2016-17,0.0,80.0,25.0,13.2,-1.3,0.4
242,Frank Kaminsky,2016-17,0.0,75.0,26.1,13.0,-1.2,0.4
245,Sean Kilpatrick,2016-17,0.0,70.0,25.1,13.1,-2.3,-0.1
248,Kosta Koufos,2016-17,0.0,71.0,20.0,13.8,-2.5,-0.2
249,Mindaugas Kuzminskas,2016-17,0.0,68.0,14.9,12.4,-1.9,0.0
