,Player,Season,class,G,MP,PER,BPM,VORP
0,Álex Abrines,2016-17,0.0,68.0,15.5,10.1,-1.6,0.1
3,Arron Afflalo,2016-17,0.0,61.0,25.9,8.9,-3.6,-0.7
7,Lavoy Allen,2016-17,0.0,61.0,14.3,11.6,-1.7,0.1
9,Al-Farouq Aminu,2016-17,0.0,61.0,29.1,11.3,-1.1,0.4
12,Justin Anderson,2016-17,0.0,75.0,16.4,13.9,-1.3,0.2
21,D.J. Augustin,2016-17,0.0,78.0,19.7,11.0,-3.0,-0.4
22,Luke Babbitt,2016-17,0.0,68.0,15.7,8.3,-2.0,0.0
23,Ron Baker,2016-17,0.0,52.0,16.5,7.5,-4.7,-0.6
25,Leandro Barbosa,2016-17,0.0,67.0,14.4,11.5,-2.5,-0.1
28,Matt Barnes,2016-17,0.0,74.0,24.0,10.3,-1.4,0.3
33,Aron Baynes,2016-17,0.0,75.0,15.5,13.1,-2.7,-0.2
34,Kent Bazemore,2016-17,0.0,73.0,26.9,11.5,-1.0,0.5
38,Marco Belinelli,2016-17,0.0,74.0,24.0,13.3,-1.1,0.4
43,Dāvis Bertāns,2016-17,0.0,67.0,12.1,12.9,1.3,0.7
45,Bismack Biyombo,2016-17,0.0,81.0,22.1,12.2,-3.2,-0.6
46,Nemanja Bjelica,2016-17,0.0,65.0,18.3,11.0,-1.6,0.1
47,Tarik Black,2016-17,0.0,67.0,16.3,15.0,-3.2,-0.3
49,Bojan Bogdanović,2016-17,0.0,81.0,25.7,13.5,-2.2,-0.1
55,Corey Brewer,2016-17,0.0,82.0,15.6,9.1,-2.7,-0.2
57,Aaron Brooks,2016-17,0.0,65.0,13.8,9.5,-3.7,-0.4
60,Jaylen Brown,2016-17,0.0,78.0,17.2,10.3,-3.7,-0.6
63,Trey Burke,2016-17,0.0,57.0,12.3,10.8,-3.0,-0.2
73,Michael Carter-Williams,2016-17,0.0,45.0,18.8,9.9,-3.2,-0.3
75,Willie Cauley-Stein,2016-17,0.0,75.0,18.9,16.3,-1.0,0.3
78,Marquese Chriss,2016-17,0.0,82.0,21.3,12.3,-2.2,-0.1
80,Semaj Christon,2016-17,0.0,64.0,15.2,5.7,-5.1,-0.8
81,Ian Clark,2016-17,0.0,77.0,14.8,13.1,-1.5,0.1
82,Jordan Clarkson,2016-17,0.0,82.0,29.2,13.2,-2.5,-0.3
91,Allen Crabbe,2016-17,0.0,79.0,28.5,11.6,-1.3,0.4
92,Jamal Crawford,2016-17,0.0,82.0,26.3,12.0,-2.1,0.0
95,Dante Cunningham,2016-17,0.0,66.0,25.0,10.2,-1.6,0.2
98,Troy Daniels,2016-17,0.0,67.0,17.7,10.4,-1.8,0.0
101,Ed Davis,2016-17,0.0,46.0,17.2,11.5,-4.1,-0.4
103,Sam Dekker,2016-17,0.0,77.0,18.4,13.1,-0.2,0.6
104,Malcolm Delaney,2016-17,0.0,73.0,17.1,7.5,-5.6,-1.1
105,Matthew Dellavedova,2016-17,0.0,76.0,26.1,9.4,-4.2,-1.1
106,Luol Deng,2016-17,0.0,56.0,26.5,10.1,-2.1,0.0
109,Boris Diaw,2016-17,0.0,73.0,17.6,9.0,-2.5,-0.1
111,Spencer Dinwiddie,2016-17,0.0,59.0,22.6,12.7,-1.0,0.4
115,Jared Dudley,2016-17,0.0,64.0,21.3,10.6,-1.0,0.3
116,Mike Dunleavy,2016-17,0.0,53.0,15.9,10.1,-1.4,0.1
117,Kris Dunn,2016-17,0.0,78.0,17.1,8.1,-2.8,-0.3
122,Monta Ellis,2016-17,0.0,74.0,27.0,9.9,-2.9,-0.5
124,James Ennis III,2016-17,0.0,64.0,23.5,10.6,-1.2,0.3
125,Tyler Ennis,2016-17,0.0,53.0,11.1,10.9,-3.2,-0.2
127,Dante Exum,2016-17,0.0,66.0,18.6,8.5,-3.3,-0.4
132,Cristiano Felício,2016-17,0.0,66.0,15.8,15.3,-0.7,0.3
133,Raymond Felton,2016-17,0.0,80.0,21.3,10.9,-1.3,0.3
134,Yogi Ferrell,2016-17,0.0,46.0,26.0,13.1,-1.1,0.3
135,Dorian Finney-Smith,2016-17,0.0,81.0,20.3,7.7,-2.6,-0.3
138,Randy Foye,2016-17,0.0,69.0,18.6,7.3,-4.4,-0.8
