,Player,Season,class,G,MP,PER,BPM,VORP
1,Quincy Acy,2016-17,1.0,38.0,14.7,11.8,-2.1,0.0
4,Alexis Ajinça,2016-17,1.0,39.0,15.0,12.9,-3.3,-0.2
5,Cole Aldrich,2016-17,1.0,62.0,8.6,12.7,-0.8,0.2
17,Joel Anthony,2016-17,1.0,19.0,6.4,11.6,-2.1,0.0
19,Darrell Arthur,2016-17,1.0,41.0,15.6,12.8,-0.1,0.3
26,J.J. Barea,2016-17,1.0,35.0,22.0,17.2,1.5,0.7
30,Brandon Bass,2016-17,1.0,52.0,11.1,19.7,0.4,0.4
36,Malik Beasley,2016-17,1.0,22.0,7.5,13.7,-0.6,0.1
37,Michael Beasley,2016-17,1.0,56.0,16.7,17.8,-0.8,0.3
41,Anthony Bennett,2016-17,1.0,23.0,11.5,14.7,-1.4,0.0
51,Joel Bolomboy,2016-17,1.0,12.0,4.4,19.7,3.4,0.1
61,Nicolás Brussino,2016-17,1.0,54.0,9.6,10.7,-1.6,0.1
62,Reggie Bullock,2016-17,1.0,31.0,15.1,11.7,0.3,0.3
64,Alec Burks,2016-17,1.0,42.0,15.5,11.6,-2.3,0.0
66,Bruno Caboclo,2016-17,1.0,9.0,4.4,14.6,1.0,0.0
85,Nick Collison,2016-17,1.0,20.0,6.4,12.9,-0.2,0.1
87,Pat Connaughton,2016-17,1.0,39.0,8.1,11.8,-0.7,0.1
93,Jordan Crawford,2016-17,1.0,19.0,23.3,17.6,1.3,0.4
108,Cheick Diallo,2016-17,1.0,17.0,11.7,16.8,-3.7,-0.1
112,Toney Douglas,2016-17,1.0,24.0,16.4,10.6,-1.5,0.1
126,Tyreke Evans,2016-17,1.0,40.0,19.7,15.5,0.4,0.5
131,Kay Felder,2016-17,1.0,42.0,9.2,11.4,-2.4,0.0
156,Archie Goodwin,2016-17,1.0,15.0,14.3,18.7,1.9,0.2
160,Treveon Graham,2016-17,1.0,27.0,7.0,10.6,-1.0,0.1
165,Gerald Green,2016-17,1.0,47.0,11.4,11.9,-3.0,-0.1
184,Spencer Hawes,2016-17,1.0,54.0,14.8,15.6,0.5,0.5
191,Roy Hibbert,2016-17,1.0,48.0,14.2,13.5,-2.3,0.0
236,Derrick Jones Jr.,2016-17,1.0,32.0,17.0,12.0,-2.3,0.0
237,James Jones,2016-17,1.0,48.0,7.9,11.1,-0.3,0.2
239,Tyus Jones,2016-17,1.0,60.0,12.9,13.8,0.2,0.4
250,Skal Labissière,2016-17,1.0,33.0,18.5,16.8,-2.3,0.0
268,Shawn Long,2016-17,1.0,18.0,13.0,24.1,1.2,0.2
269,Kevon Looney,2016-17,1.0,53.0,8.4,13.6,-1.7,0.0
