,Player,Season,class,G,MP,PER,BPM,VORP
15,Giannis Antetokounmpo,2016-17,0.0,80.0,35.6,26.1,7.3,6.7
65,Jimmy Butler,2016-17,0.0,76.0,37.0,25.1,7.3,6.6
86,Mike Conley,2016-17,0.0,69.0,33.2,23.2,6.8,5.1
89,DeMarcus Cousins,2016-17,0.0,72.0,34.2,25.8,6.8,5.5
97,Stephen Curry,2016-17,0.0,79.0,33.4,24.6,6.9,5.9
99,Anthony Davis,2016-17,0.0,75.0,36.1,27.5,5.9,5.4
118,Kevin Durant,2016-17,0.0,62.0,33.4,27.6,8.9,5.7
172,James Harden,2016-17,0.0,81.0,36.4,27.4,8.7,8.0
220,LeBron James,2016-17,0.0,74.0,37.8,27.0,7.6,6.7
233,Nikola Jokić,2016-17,0.0,73.0,27.9,26.3,7.3,4.8
260,Kawhi Leonard,2016-17,0.0,74.0,33.4,27.6,9.4,7.1
265,Damian Lillard,2016-17,0.0,75.0,35.9,24.1,5.0,4.8
273,Kyle Lowry,2016-17,0.0,60.0,37.4,22.9,6.1,4.6
350,Chris Paul,2016-17,0.0,61.0,31.5,26.2,8.7,5.2
424,Isaiah Thomas,2016-17,0.0,76.0,33.8,26.5,6.7,5.6
433,Karl-Anthony Towns,2016-17,0.0,82.0,37.0,25.9,4.7,5.2
452,John Wall,2016-17,0.0,78.0,36.4,23.2,4.7,4.8
457,Russell Westbrook,2016-17,0.0,81.0,34.6,30.6,11.1,9.3
501,Giannis Antetokounmpo,2017-18,0.0,75.0,36.7,27.3,6.2,5.7
564,Jimmy Butler,2017-18,0.0,59.0,36.7,23.7,5.8,4.2
605,Stephen Curry,2017-18,0.0,51.0,32.0,28.2,7.7,4.0
607,Anthony Davis,2017-18,0.0,75.0,36.4,28.9,6.7,5.9
628,Kevin Durant,2017-18,0.0,68.0,34.2,26.0,7.3,5.5
680,James Harden,2017-18,0.0,72.0,35.4,29.8,9.9,7.7
725,Kyrie Irving,2017-18,0.0,60.0,32.2,25.0,7.3,4.5
734,LeBron James,2017-18,0.0,82.0,36.9,28.6,8.7,8.2
749,Nikola Jokić,2017-18,0.0,75.0,32.6,24.4,6.9,5.5
783,Damian Lillard,2017-18,0.0,73.0,36.6,25.2,7.2,6.3
867,Victor Oladipo,2017-18,0.0,75.0,34.0,23.1,5.8,5.0
881,Chris Paul,2017-18,0.0,58.0,31.8,24.4,7.1,4.2
969,Karl-Anthony Towns,2017-18,0.0,82.0,35.6,24.9,5.1,5.2
993,Russell Westbrook,2017-18,0.0,80.0,36.4,24.7,6.3,6.1
1043,Giannis Antetokounmpo,2018-19,0.0,72.0,32.8,30.9,10.4,7.4
1149,Stephen Curry,2018-19,0.0,69.0,33.8,24.4,6.6,5.1
1151,Anthony Davis,2018-19,0.0,56.0,33.0,30.3,9.4,5.3
1175,Kevin Durant,2018-19,0.0,78.0,34.6,24.2,5.5,5.1
1209,Paul George,2018-19,0.0,77.0,36.9,23.3,7.2,6.6
1213,Rudy Gobert,2018-19,0.0,81.0,31.8,24.6,5.4,4.8
1232,James Harden,2018-19,0.0,78.0,36.8,30.6,11.0,9.3
1275,Kyrie Irving,2018-19,0.0,67.0,33.0,24.3,7.2,5.1
1284,LeBron James,2018-19,0.0,55.0,35.2,25.6,8.0,4.9
1295,Nikola Jokić,2018-19,0.0,80.0,31.3,26.3,9.1,7.0
1326,Kawhi Leonard,2018-19,0.0,60.0,34.0,25.8,7.2,4.7
1330,Damian Lillard,2018-19,0.0,80.0,35.5,23.7,6.4,6.0
1506,Karl-Anthony Towns,2018-19,0.0,77.0,33.1,26.3,6.0,5.1
1518,Nikola Vučević,2018-19,0.0,80.0,31.4,25.5,6.6,5.5
1568,Giannis Antetokounmpo,2019-20,0.0,63.0,30.4,31.9,11.5,6.6
1678,Anthony Davis,2019-20,0.0,62.0,34.4,27.4,8.0,5.4
1689,Luka Dončić,2019-20,0.0,61.0,33.6,27.6,8.4,5.4
1754,James Harden,2019-20,0.0,68.0,36.5,29.1,9.6,7.3
1806,LeBron James,2019-20,0.0,67.0,34.6,25.5,8.4,6.1
1817,Nikola Jokić,2019-20,0.0,73.0,32.0,24.9,7.4,5.5
1849,Kawhi Leonard,2019-20,0.0,57.0,32.4,26.9,8.9,5.1
1852,Damian Lillard,2019-20,0.0,66.0,37.5,26.9,7.5,5.9
2032,Karl-Anthony Towns,2019-20,0.0,35.0,33.9,26.5,7.8,2.9
2096,Giannis Antetokounmpo,2020-21,0.0,61.0,33.0,29.2,9.0,5.6
2168,Jimmy Butler,2020-21,0.0,52.0,33.6,26.5,7.7,4.3
2200,Stephen Curry,2020-21,0.0,63.0,34.2,26.3,8.7,5.8
2214,Luka Dončić,2020-21,0.0,66.0,34.3,25.3,6.8,5.1
2230,Joel Embiid,2020-21,0.0,51.0,31.1,30.3,7.5,3.8
2285,James Harden,2020-21,0.0,44.0,36.6,24.5,7.2,3.7
2336,LeBron James,2020-21,0.0,45.0,33.4,24.2,8.1,3.8
2347,Nikola Jokić,2020-21,0.0,72.0,34.6,31.3,12.1,8.8
2377,Kawhi Leonard,2020-21,0.0,52.0,34.1,26.0,7.3,4.2
2381,Damian Lillard,2020-21,0.0,67.0,35.8,25.6,6.3,5.0
2612,Zion Williamson,2020-21,0.0,61.0,33.2,27.1,5.8,4.0
