,Player,Season,class,G,MP,PER,BPM,VORP
2,Steven Adams,2016-17,3.0,80.0,29.9,16.5,-0.2,1.1
6,LaMarcus Aldridge,2016-17,3.0,72.0,32.4,18.6,0.8,1.7
8,Tony Allen,2016-17,3.0,71.0,27.0,13.3,-1.0,0.5
13,Kyle Anderson,2016-17,3.0,72.0,14.2,12.5,1.8,1.0
14,Ryan Anderson,2016-17,3.0,72.0,29.4,13.5,-0.4,0.9
16,Carmelo Anthony,2016-17,3.0,74.0,34.3,17.9,0.7,1.7
18,Trevor Ariza,2016-17,3.0,80.0,34.7,12.4,1.0,2.1
27,Harrison Barnes,2016-17,3.0,79.0,35.5,16.3,-0.8,0.8
29,Will Barton,2016-17,3.0,60.0,28.4,15.5,0.2,1.0
31,Nicolas Batum,2016-17,3.0,77.0,34.0,15.8,0.8,1.9
44,Patrick Beverley,2016-17,3.0,67.0,30.7,13.0,1.1,1.6
52,Devin Booker,2016-17,3.0,78.0,35.0,14.6,-1.9,0.1
53,Trevor Booker,2016-17,3.0,71.0,24.7,15.7,-0.6,0.6
54,Avery Bradley,2016-17,3.0,55.0,33.4,14.4,-0.6,0.7
56,Malcolm Brogdon,2016-17,3.0,75.0,26.4,14.9,-0.4,0.8
68,Kentavious Caldwell-Pope,2016-17,3.0,76.0,33.3,12.8,-0.2,1.1
70,Clint Capela,2016-17,3.0,65.0,23.9,21.4,1.2,1.2
71,DeMarre Carroll,2016-17,3.0,72.0,26.1,11.9,0.0,1.0
72,Vince Carter,2016-17,3.0,73.0,24.6,11.7,0.8,1.3
76,Tyson Chandler,2016-17,3.0,47.0,27.6,16.6,0.3,0.8
77,Wilson Chandler,2016-17,3.0,71.0,30.9,14.9,-1.0,0.5
84,Darren Collison,2016-17,3.0,68.0,30.3,15.3,-0.9,0.6
90,Robert Covington,2016-17,3.0,67.0,31.6,13.2,0.2,1.1
94,Jae Crowder,2016-17,3.0,72.0,32.4,14.9,0.9,1.7
96,Seth Curry,2016-17,3.0,70.0,29.0,15.5,1.2,1.7
102,Dewayne Dedmon,2016-17,3.0,76.0,17.5,16.0,0.6,0.9
110,Gorgui Dieng,2016-17,3.0,82.0,32.4,14.2,-0.1,1.3
114,Andre Drummond,2016-17,3.0,81.0,29.7,20.9,1.0,1.8
121,Wayne Ellington,2016-17,3.0,62.0,24.2,12.6,-0.1,0.7
123,Joel Embiid,2016-17,3.0,31.0,25.4,24.1,4.5,1.3
128,Kenneth Faried,2016-17,3.0,61.0,21.2,20.3,0.3,0.7
130,Derrick Favors,2016-17,3.0,50.0,23.7,15.8,-0.1,0.6
137,Evan Fournier,2016-17,3.0,68.0,32.9,13.9,-1.3,0.4
