,Player,Season,class,G,MP,PER,BPM,VORP
35,Bradley Beal,2016-17,1.0,77.0,34.9,20.1,3.3,3.5
48,Eric Bledsoe,2016-17,1.0,66.0,33.0,20.5,3.6,3.1
107,DeMar DeRozan,2016-17,1.0,74.0,35.4,24.0,3.0,3.3
113,Goran Dragić,2016-17,1.0,73.0,33.7,19.8,2.6,2.9
145,Marc Gasol,2016-17,1.0,74.0,34.2,20.3,5.2,4.6
150,Paul George,2016-17,1.0,75.0,35.9,20.2,3.1,3.4
155,Rudy Gobert,2016-17,1.0,81.0,33.9,23.3,4.4,4.4
164,Draymond Green,2016-17,1.0,76.0,32.5,16.5,4.9,4.3
168,Blake Griffin,2016-17,1.0,61.0,34.0,22.6,4.7,3.5
185,Gordon Hayward,2016-17,1.0,73.0,34.5,22.2,5.0,4.5
203,Al Horford,2016-17,1.0,68.0,32.3,17.7,3.4,3.0
215,Kyrie Irving,2016-17,1.0,72.0,35.1,23.0,3.4,3.4
240,DeAndre Jordan,2016-17,1.0,81.0,31.7,21.8,3.3,3.5
287,CJ McCollum,2016-17,1.0,80.0,35.0,19.9,2.0,2.8
360,Otto Porter Jr.,2016-17,1.0,80.0,32.6,17.3,3.3,3.5
451,Kemba Walker,2016-17,1.0,79.0,34.7,21.3,4.1,4.2
466,Lou Williams,2016-17,1.0,81.0,24.6,21.4,3.9,3.0
492,LaMarcus Aldridge,2017-18,1.0,75.0,33.5,25.0,3.9,3.7
522,Bradley Beal,2017-18,1.0,82.0,36.3,18.4,2.2,3.1
552,MarShon Brooks,2017-18,1.0,7.0,27.6,26.1,7.1,0.4
570,Clint Capela,2017-18,1.0,74.0,27.5,24.5,3.4,2.8
597,DeMarcus Cousins,2017-18,1.0,48.0,36.2,22.6,4.7,2.9
615,DeMar DeRozan,2017-18,1.0,80.0,33.9,21.0,2.8,3.2
625,Andre Drummond,2017-18,1.0,78.0,33.7,22.9,3.2,3.4
632,Joel Embiid,2017-18,1.0,63.0,30.3,22.9,3.3,2.6
637,Tyreke Evans,2017-18,1.0,52.0,30.9,21.1,4.5,2.6
659,Paul George,2017-18,1.0,79.0,36.6,18.7,2.9,3.6
664,Rudy Gobert,2017-18,1.0,56.0,32.4,20.7,3.4,2.5
677,Blake Griffin,2017-18,1.0,58.0,34.0,19.6,3.4,2.7
713,Al Horford,2017-18,1.0,72.0,31.6,17.6,4.4,3.7
778,Kawhi Leonard,2017-18,1.0,9.0,23.3,26.0,10.1,0.6
789,Kevin Love,2017-18,1.0,59.0,28.0,22.4,3.3,2.2
790,Kyle Lowry,2017-18,1.0,78.0,32.2,19.5,5.2,4.5
894,Otto Porter Jr.,2017-18,1.0,77.0,31.6,18.3,3.5,3.4
936,Ben Simmons,2017-18,1.0,81.0,33.7,20.0,4.5,4.5
983,Kemba Walker,2017-18,1.0,80.0,34.2,20.6,4.0,4.2
1005,Lou Williams,2017-18,1.0,79.0,32.8,20.2,2.3,2.8
1033,LaMarcus Aldridge,2018-19,1.0,81.0,33.2,22.9,1.8,2.6
1065,Bradley Beal,2018-19,1.0,82.0,36.9,20.8,2.9,3.7
1109,Jimmy Butler,2018-19,1.0,65.0,33.6,20.2,3.7,3.2
1114,Clint Capela,2018-19,1.0,67.0,33.6,23.8,3.0,2.8
1137,Mike Conley,2018-19,1.0,70.0,33.5,21.4,4.7,3.9
1167,Luka Dončić,2018-19,1.0,72.0,32.2,19.6,3.9,3.4
1172,Andre Drummond,2018-19,1.0,79.0,33.5,23.4,2.1,2.7
1180,Joel Embiid,2018-19,1.0,64.0,33.7,26.1,4.9,3.8
1203,Danilo Gallinari,2018-19,1.0,68.0,30.3,21.0,4.3,3.3
1228,Blake Griffin,2018-19,1.0,75.0,35.0,21.0,5.1,4.7
1234,Montrezl Harrell,2018-19,1.0,82.0,26.3,23.4,3.3,2.9
1256,Jrue Holiday,2018-19,1.0,67.0,35.9,19.4,3.0,3.1
1262,Al Horford,2018-19,1.0,68.0,29.0,20.2,5.1,3.6
