,Player,Season,class,G,MP,PER,BPM,VORP
10,Chris Andersen,2016-17,2.0,12.0,9.5,11.6,-2.5,0.0
11,Alan Anderson,2016-17,2.0,30.0,10.3,5.0,-6.1,-0.3
20,Ömer Aşık,2016-17,2.0,31.0,15.5,9.8,-3.7,-0.2
24,Wade Baldwin,2016-17,2.0,33.0,12.3,6.5,-5.5,-0.3
39,DeAndre' Bembry,2016-17,2.0,38.0,9.8,8.8,-3.5,-0.1
40,Dragan Bender,2016-17,2.0,43.0,13.3,5.3,-5.1,-0.4
50,Andrew Bogut,2016-17,2.0,27.0,21.6,9.3,-2.6,-0.1
58,Anthony Brown,2016-17,2.0,11.0,14.5,7.2,-4.4,-0.1
59,Bobby Brown,2016-17,2.0,25.0,4.9,10.8,-3.6,0.0
67,José Calderón,2016-17,2.0,41.0,13.1,8.9,-3.2,-0.2
69,Isaiah Canaan,2016-17,2.0,39.0,15.2,8.1,-3.3,-0.2
74,Omri Casspi,2016-17,2.0,36.0,17.9,10.0,-3.2,-0.2
79,Rakeem Christmas,2016-17,2.0,29.0,7.6,10.4,-5.0,-0.2
83,Norris Cole,2016-17,2.0,13.0,9.6,5.4,-6.7,-0.1
88,Quinn Cook,2016-17,2.0,14.0,13.4,11.8,-3.1,-0.1
100,Deyonta Davis,2016-17,2.0,36.0,6.6,10.6,-4.6,-0.2
120,Henry Ellenson,2016-17,2.0,19.0,7.7,7.5,-5.9,-0.1
136,Bryn Forbes,2016-17,2.0,36.0,7.9,5.9,-5.4,-0.2
148,Michael Gbinije,2016-17,2.0,9.0,3.6,-2.1,-12.1,-0.1
149,Alonzo Gee,2016-17,2.0,13.0,6.8,3.1,-6.7,-0.1
152,Jonathan Gibson,2016-17,2.0,17.0,13.6,9.5,-3.7,-0.1
170,A.J. Hammons,2016-17,2.0,22.0,7.4,8.4,-6.6,-0.2
183,Udonis Haslem,2016-17,2.0,16.0,8.1,8.8,-5.3,-0.1
195,Jordan Hill,2016-17,2.0,7.0,6.7,5.5,-12.3,-0.1
197,Darrun Hilliard,2016-17,2.0,39.0,9.8,5.9,-6.0,-0.4
206,Marcelo Huertas,2016-17,2.0,23.0,10.3,9.1,-4.6,-0.2
218,Pierre Jackson,2016-17,2.0,8.0,10.5,13.0,-4.4,-0.1
235,Damian Jones,2016-17,2.0,10.0,8.5,5.3,-9.7,-0.2
243,Ryan Kelly,2016-17,2.0,16.0,6.9,7.8,-3.1,0.0
252,Nicolás Laprovíttola,2016-17,2.0,18.0,9.7,8.4,-3.9,-0.1
256,Jake Layman,2016-17,2.0,35.0,7.1,4.9,-6.4,-0.3
282,Jarell Martin,2016-17,2.0,42.0,13.3,8.7,-5.8,-0.5
295,Jordan McRae,2016-17,2.0,37.0,10.4,9.7,-3.7,-0.2
299,Jordan Mickey,2016-17,2.0,25.0,5.6,9.8,-4.7,-0.1
302,Mike Miller,2016-17,2.0,20.0,7.6,7.6,-1.5,0.0
312,Donatas Motiejūnas,2016-17,2.0,34.0,14.1,9.1,-4.3,-0.3
316,Dejounte Murray,2016-17,2.0,38.0,8.5,9.6,-4.8,-0.2
325,Georges Niang,2016-17,2.0,23.0,4.0,0.1,-11.7,-0.2
326,Andrew Nicholson,2016-17,2.0,38.0,9.0,5.9,-6.0,-0.3
336,Daniel Ochefu,2016-17,2.0,19.0,3.9,6.6,-8.4,-0.1
340,Arinze Onuaku,2016-17,2.0,8.0,3.5,5.8,-6.4,0.0
344,Georgios Papagiannis,2016-17,2.0,22.0,16.1,12.7,-3.8,-0.2
347,Chandler Parsons,2016-17,2.0,34.0,19.9,7.7,-3.8,-0.3
352,Cameron Payne,2016-17,2.0,31.0,14.9,5.5,-6.1,-0.5
355,Paul Pierce*,2016-17,2.0,25.0,11.1,5.7,-4.7,-0.2
356,Marshall Plumlee,2016-17,2.0,21.0,8.1,10.9,-4.6,-0.1
358,Miles Plumlee,2016-17,2.0,45.0,10.8,8.4,-5.0,-0.4
366,Ronnie Price,2016-17,2.0,14.0,9.6,5.9,-3.4,0.0
368,Tim Quarterman,2016-17,2.0,16.0,5.0,10.2,-2.8,0.0
375,Malachi Richardson,2016-17,2.0,22.0,9.0,9.6,-4.8,-0.1
378,Brian Roberts,2016-17,2.0,41.0,10.1,9.8,-4.2,-0.2
387,Damjan Rudež,2016-17,2.0,45.0,7.0,6.3,-4.5,-0.2
396,Mike Scott,2016-17,2.0,18.0,10.8,5.9,-5.5,-0.2
398,Wayne Selden,2016-17,2.0,14.0,16.9,6.9,-5.5,-0.2
404,Kyle Singler,2016-17,2.0,32.0,12.0,5.9,-4.3,-0.2
411,Tiago Splitter,2016-17,2.0,8.0,9.5,15.0,-4.3,0.0
413,Lance Stephenson,2016-17,2.0,18.0,20.1,9.6,-4.0,-0.2
415,Diamond Stone,2016-17,2.0,7.0,3.4,-1.2,-20.8,-0.1
416,Rodney Stuckey,2016-17,2.0,39.0,17.8,9.5,-4.4,-0.4
417,Jared Sullinger,2016-17,2.0,11.0,10.7,6.0,-7.2,-0.2
443,Anderson Varejão,2016-17,2.0,14.0,6.6,9.4,-4.2,-0.1
445,Rashad Vaughn,2016-17,2.0,41.0,11.2,7.8,-3.6,-0.2
448,Sasha Vujačić,2016-17,2.0,42.0,9.7,8.6,-3.2,-0.1
455,Briante Weber,2016-17,2.0,20.0,10.3,11.0,-3.7,-0.1
458,Okaro White,2016-17,2.0,35.0,13.5,7.5,-3.1,-0.1
462,C.J. Wilcox,2016-17,2.0,22.0,4.9,2.9,-8.1,-0.2
469,Troy Williams,2016-17,2.0,30.0,18.6,9.0,-3.8,-0.3
470,Kyle Wiltjer,2016-17,2.0,14.0,3.1,6.7,-5.4,0.0
471,Justise Winslow,2016-17,2.0,18.0,34.7,8.2,-3.8,-0.3
474,Metta World Peace,2016-17,2.0,25.0,6.4,6.5,-6.1,-0.2
478,Joe Young,2016-17,2.0,33.0,4.1,11.4,-5.2,-0.1
483,Stephen Zimmerman,2016-17,2.0,19.0,5.7,7.3,-8.3,-0.2
484,Paul Zipser,2016-17,2.0,44.0,19.2,6.9,-4.4,-0.5
490,Arron Afflalo,2017-18,2.0,53.0,12.9,5.8,-5.4,-0.6
494,Kadeem Allen,2017-18,2.0,18.0,5.9,2.6,-7.7,-0.2
495,Tony Allen,2017-18,2.0,22.0,12.4,8.7,-5.5,-0.2
504,Ryan Arcidiacono,2017-18,2.0,24.0,12.7,7.3,-4.1,-0.2
506,Darrell Arthur,2017-18,2.0,19.0,7.4,8.4,-5.3,-0.1
507,Jamel Artis,2017-18,2.0,15.0,18.6,6.9,-5.4,-0.2
508,Ömer Aşık,2017-18,2.0,18.0,10.1,3.1,-8.0,-0.3
511,Dwayne Bacon,2017-18,2.0,53.0,13.5,5.8,-4.7,-0.5
527,DeAndre' Bembry,2017-18,2.0,26.0,17.5,7.6,-4.7,-0.3
532,Jabari Bird,2017-18,2.0,13.0,8.8,12.1,-3.1,0.0
536,Antonio Blakeney,2017-18,2.0,19.0,16.5,10.1,-5.2,-0.3
541,Andrew Bogut,2017-18,2.0,24.0,9.0,10.9,-2.8,-0.1
547,Tony Bradley,2017-18,2.0,9.0,3.2,9.5,-7.5,0.0
550,Aaron Brooks,2017-18,2.0,32.0,5.9,9.8,-3.8,-0.1
554,Bobby Brown,2017-18,2.0,20.0,5.8,5.5,-7.2,-0.2
556,Lorenzo Brown,2017-18,2.0,14.0,9.9,8.2,-2.5,0.0
560,Thomas Bryant,2017-18,2.0,15.0,4.8,9.9,-3.3,0.0
566,Bruno Caboclo,2017-18,2.0,12.0,8.9,7.4,-5.8,-0.1
574,Alex Caruso,2017-18,2.0,37.0,15.2,8.7,-2.9,-0.1
584,Gian Clavell,2017-18,2.0,7.0,9.1,7.4,-2.2,0.0
585,Antonius Cleveland,2017-18,2.0,17.0,7.2,4.5,-5.2,-0.1
588,Kyle Collinsworth,2017-18,2.0,32.0,15.0,10.0,-2.6,-0.1
590,Nick Collison,2017-18,2.0,15.0,5.0,13.2,-4.2,0.0
600,Torrey Craig,2017-18,2.0,39.0,16.1,9.8,-2.9,-0.1
613,Matthew Dellavedova,2017-18,2.0,38.0,18.7,8.6,-4.4,-0.4
621,Milton Doyle,2017-18,2.0,10.0,12.5,5.2,-6.8,-0.1
624,Larry Drew II,2017-18,2.0,10.0,7.0,2.9,-9.0,-0.1
630,Henry Ellenson,2017-18,2.0,38.0,8.7,10.5,-4.4,-0.2
635,Jawun Evans,2017-18,2.0,48.0,16.2,7.2,-5.0,-0.6
641,Kay Felder,2017-18,2.0,16.0,8.8,3.6,-11.1,-0.3
646,Dorian Finney-Smith,2017-18,2.0,21.0,21.3,7.6,-4.6,-0.3
660,Marcus Georges-Hunt,2017-18,2.0,42.0,5.3,6.9,-5.1,-0.2
