,Player,Season,class,G,MP,PER,BPM,VORP
3,Arron Afflalo,2016-17,1.0,61.0,25.9,8.9,-3.6,-0.7
21,D.J. Augustin,2016-17,1.0,78.0,19.7,11.0,-3.0,-0.4
22,Luke Babbitt,2016-17,1.0,68.0,15.7,8.3,-2.0,0.0
23,Ron Baker,2016-17,1.0,52.0,16.5,7.5,-4.7,-0.6
25,Leandro Barbosa,2016-17,1.0,67.0,14.4,11.5,-2.5,-0.1
45,Bismack Biyombo,2016-17,1.0,81.0,22.1,12.2,-3.2,-0.6
55,Corey Brewer,2016-17,1.0,82.0,15.6,9.1,-2.7,-0.2
57,Aaron Brooks,2016-17,1.0,65.0,13.8,9.5,-3.7,-0.4
60,Jaylen Brown,2016-17,1.0,78.0,17.2,10.3,-3.7,-0.6
63,Trey Burke,2016-17,1.0,57.0,12.3,10.8,-3.0,-0.2
73,Michael Carter-Williams,2016-17,1.0,45.0,18.8,9.9,-3.2,-0.3
80,Semaj Christon,2016-17,1.0,64.0,15.2,5.7,-5.1,-0.8
101,Ed Davis,2016-17,1.0,46.0,17.2,11.5,-4.1,-0.4
104,Malcolm Delaney,2016-17,1.0,73.0,17.1,7.5,-5.6,-1.1
105,Matthew Dellavedova,2016-17,1.0,76.0,26.1,9.4,-4.2,-1.1
109,Boris Diaw,2016-17,1.0,73.0,17.6,9.0,-2.5,-0.1
117,Kris Dunn,2016-17,1.0,78.0,17.1,8.1,-2.8,-0.3
122,Monta Ellis,2016-17,1.0,74.0,27.0,9.9,-2.9,-0.5
125,Tyler Ennis,2016-17,1.0,53.0,11.1,10.9,-3.2,-0.2
127,Dante Exum,2016-17,1.0,66.0,18.6,8.5,-3.3,-0.4
135,Dorian Finney-Smith,2016-17,1.0,81.0,20.3,7.7,-2.6,-0.3
138,Randy Foye,2016-17,1.0,69.0,18.6,7.3,-4.4,-0.8
139,Tim Frazier,2016-17,1.0,65.0,23.5,12.4,-2.7,-0.3
167,Jeff Green,2016-17,1.0,69.0,22.2,10.5,-3.6,-0.6
178,Joe Harris,2016-17,1.0,52.0,21.9,9.0,-3.5,-0.4
182,Andrew Harrison,2016-17,1.0,72.0,20.5,8.7,-3.4,-0.5
186,Gerald Henderson,2016-17,1.0,72.0,23.2,10.8,-3.1,-0.5
190,Mario Hezonja,2016-17,1.0,65.0,14.8,7.2,-5.0,-0.7
196,Solomon Hill,2016-17,1.0,80.0,29.7,8.0,-2.7,-0.4
214,Brandon Ingram,2016-17,1.0,79.0,28.8,8.5,-4.4,-1.4
222,Richard Jefferson,2016-17,1.0,79.0,20.4,8.3,-3.1,-0.4
225,Jonas Jerebko,2016-17,1.0,78.0,15.8,9.3,-2.4,-0.1
230,Stanley Johnson,2016-17,1.0,77.0,17.8,7.2,-3.0,-0.3
232,Wesley Johnson,2016-17,1.0,68.0,11.9,8.4,-2.0,0.0
246,Brandon Knight,2016-17,1.0,54.0,21.1,12.4,-2.8,-0.2
261,Meyers Leonard,2016-17,1.0,74.0,16.5,8.9,-3.3,-0.4
264,DeAndre Liggins,2016-17,1.0,62.0,12.5,7.5,-2.2,0.0
267,Shaun Livingston,2016-17,1.0,76.0,17.7,10.1,-2.5,-0.2
275,Timothé Luwawu-Cabarrot,2016-17,1.0,69.0,17.2,8.5,-4.6,-0.8
276,Trey Lyles,2016-17,1.0,71.0,16.3,9.9,-2.2,-0.1
278,Shelvin Mack,2016-17,1.0,55.0,21.9,10.9,-2.3,-0.1
286,Patrick McCaw,2016-17,1.0,71.0,15.1,8.6,-2.4,-0.1
294,Ben McLemore,2016-17,1.0,61.0,19.3,9.8,-4.2,-0.6
311,Anthony Morrow,2016-17,1.0,49.0,14.6,10.1,-2.3,0.0
313,Timofey Mozgov,2016-17,1.0,54.0,20.4,12.3,-4.3,-0.7
314,Emmanuel Mudiay,2016-17,1.0,55.0,25.6,10.9,-3.2,-0.4
342,Kelly Oubre Jr.,2016-17,1.0,79.0,20.3,9.1,-3.2,-0.5
359,Jakob Poeltl,2016-17,1.0,54.0,11.6,12.2,-3.1,-0.2
367,Taurean Prince,2016-17,1.0,59.0,16.6,9.8,-1.8,0.0
381,Sergio Rodríguez,2016-17,1.0,68.0,22.3,11.1,-2.7,-0.3
388,Brandon Rush,2016-17,1.0,47.0,21.9,6.6,-2.5,-0.1
390,Domantas Sabonis,2016-17,1.0,81.0,20.1,6.9,-4.5,-1.0
393,Tomáš Satoranský,2016-17,1.0,57.0,12.6,8.5,-2.4,-0.1
400,Ramon Sessions,2016-17,1.0,50.0,16.2,12.4,-2.4,-0.1
401,Iman Shumpert,2016-17,1.0,76.0,25.5,9.0,-2.3,-0.1
402,Pascal Siakam,2016-17,1.0,55.0,15.6,11.5,-2.4,-0.1
403,Jonathon Simmons,2016-17,1.0,78.0,17.8,9.9,-2.6,-0.2
407,J.R. Smith,2016-17,1.0,41.0,29.0,8.1,-2.1,0.0
