ID,Player
1,Álex Abrines
2,Quincy Acy
3,Steven Adams
4,Arron Afflalo
5,Alexis Ajinça
6,Cole Aldrich
7,LaMarcus Aldridge
8,Lavoy Allen
9,Tony Allen
10,Al-Farouq Aminu
11,Chris Andersen
12,Alan Anderson
13,Justin Anderson
14,Kyle Anderson
15,Ryan Anderson
16,Giannis Antetokounmpo
17,Carmelo Anthony
18,Joel Anthony
19,Trevor Ariza
20,Darrell Arthur
21,Ömer Aşık
22,D.J. Augustin
23,Luke Babbitt
24,Ron Baker
25,Wade Baldwin
26,Leandro Barbosa
27,J.J. Barea
28,Harrison Barnes
29,Matt Barnes
30,Will Barton
31,Brandon Bass
32,Nicolas Batum
33,Jerryd Bayless
34,Aron Baynes
35,Kent Bazemore
36,Bradley Beal
37,Malik Beasley
38,Michael Beasley
39,Marco Belinelli
40,DeAndre' Bembry
41,Dragan Bender
42,Anthony Bennett
43,Ben Bentil
44,Dāvis Bertāns
45,Patrick Beverley
46,Bismack Biyombo
47,Nemanja Bjelica
48,Tarik Black
49,Eric Bledsoe
50,Bojan Bogdanović
51,Andrew Bogut
52,Joel Bolomboy
53,Devin Booker
54,Trevor Booker
55,Avery Bradley
56,Corey Brewer
57,Malcolm Brogdon
58,Aaron Brooks
59,Anthony Brown
60,Bobby Brown
61,Jaylen Brown
62,Nicolás Brussino
63,Reggie Bullock
64,Trey Burke
65,Alec Burks
66,Jimmy Butler
67,Bruno Caboclo
68,José Calderón
69,Kentavious Caldwell-Pope
70,Isaiah Canaan
71,Clint Capela
72,DeMarre Carroll
73,Vince Carter
74,Michael Carter-Williams
75,Omri Casspi
76,Willie Cauley-Stein
77,Tyson Chandler
78,Wilson Chandler
79,Marquese Chriss
80,Rakeem Christmas
81,Semaj Christon
82,Ian Clark
83,Jordan Clarkson
84,Norris Cole
85,Darren Collison
86,Nick Collison
87,Mike Conley
88,Pat Connaughton
89,Quinn Cook
90,DeMarcus Cousins
91,Robert Covington
92,Allen Crabbe
93,Jamal Crawford
94,Jordan Crawford
95,Jae Crowder
96,Dante Cunningham
97,Seth Curry
98,Stephen Curry
99,Troy Daniels
100,Anthony Davis
101,Deyonta Davis
102,Ed Davis
103,Dewayne Dedmon
104,Sam Dekker
105,Malcolm Delaney
106,Matthew Dellavedova
107,Luol Deng
108,DeMar DeRozan
109,Cheick Diallo
110,Boris Diaw
111,Gorgui Dieng
112,Spencer Dinwiddie
113,Toney Douglas
114,Goran Dragić
115,Andre Drummond
116,Jared Dudley
117,Mike Dunleavy
118,Kris Dunn
119,Kevin Durant
120,Jarell Eddie
121,Henry Ellenson
122,Wayne Ellington
123,Monta Ellis
124,Joel Embiid
125,James Ennis III
126,Tyler Ennis
127,Tyreke Evans
128,Dante Exum
129,Kenneth Faried
130,Jordan Farmar
131,Derrick Favors
132,Kay Felder
133,Cristiano Felício
134,Raymond Felton
135,Yogi Ferrell
136,Dorian Finney-Smith
137,Bryn Forbes
138,Evan Fournier
139,Randy Foye
140,Tim Frazier
141,Enes Freedom
142,Channing Frye
143,Danilo Gallinari
144,Langston Galloway
145,Patricio Garino
146,Marc Gasol
147,Pau Gasol
148,Rudy Gay
149,Michael Gbinije
150,Alonzo Gee
151,Paul George
152,Marcus Georges-Hunt
153,Jonathan Gibson
154,Taj Gibson
155,Manu Ginóbili
156,Rudy Gobert
157,Archie Goodwin
158,Aaron Gordon
159,Eric Gordon
160,Marcin Gortat
161,Treveon Graham
162,Jerami Grant
163,Jerian Grant
164,Danny Green
165,Draymond Green
166,Gerald Green
167,JaMychal Green
168,Jeff Green
169,Blake Griffin
170,Justin Hamilton
171,A.J. Hammons
172,Tim Hardaway Jr.
173,James Harden
174,Maurice Harkless
175,Justin Harper
176,Montrezl Harrell
177,Devin Harris
178,Gary Harris
179,Joe Harris
180,Manny Harris
181,Tobias Harris
182,Aaron Harrison
183,Andrew Harrison
184,Udonis Haslem
185,Spencer Hawes
186,Gordon Hayward
187,Gerald Henderson
188,John Henson
189,Juancho Hernangómez
190,Willy Hernangómez
191,Mario Hezonja
192,Roy Hibbert
193,Buddy Hield
194,Nenê
195,George Hill
196,Jordan Hill
197,Solomon Hill
198,Darrun Hilliard
199,Jrue Holiday
200,Justin Holiday
201,Rondae Hollis-Jefferson
202,Richaun Holmes
203,Rodney Hood
204,Al Horford
205,Danuel House Jr.
206,Dwight Howard
207,Marcelo Huertas
208,Josh Huestis
209,Kris Humphries
210,R.J. Hunter
211,Serge Ibaka
212,Andre Iguodala
213,Ersan İlyasova
214,Joe Ingles
215,Brandon Ingram
216,Kyrie Irving
217,Jarrett Jack
218,Demetrius Jackson
219,Pierre Jackson
220,Reggie Jackson
221,LeBron James
222,Al Jefferson
223,Richard Jefferson
224,John Jenkins
225,Brandon Jennings
226,Jonas Jerebko
227,Amir Johnson
228,Brice Johnson
229,James Johnson
230,Joe Johnson
231,Stanley Johnson
232,Tyler Johnson
233,Wesley Johnson
234,Nikola Jokić
235,Dahntay Jones
236,Damian Jones
237,Derrick Jones Jr.
238,James Jones
239,Terrence Jones
240,Tyus Jones
241,DeAndre Jordan
242,Cory Joseph
243,Frank Kaminsky
244,Ryan Kelly
245,Michael Kidd-Gilchrist
246,Sean Kilpatrick
