Rk,PER,BPM,VORP
2086,14.2,-4.1,-0.4
2087,-6.5,-19.8,-0.1
2088,15.1,-0.3,0.7
2089,22.7,4.9,3.7
2090,15.7,-0.3,0.3
2091,4.2,-6.5,-0.1
2092,12.5,-1.3,0.2
2093,12.8,-0.2,0.6
2094,20.1,1.1,1.4
2095,8.9,-3.8,-0.2
2096,17.2,3.3,2.5
2097,29.2,9.0,5.6
2098,0.0,-12.6,-0.1
2099,10.3,-3.5,-0.2
2100,14.6,-1.1,0.4
2101,12.1,-3.3,-0.4
2102,15.4,1.2,1.2
2103,9.8,-2.3,0.0
2104,11.9,-1.1,0.2
2105,12.1,-2.1,0.0
2106,7.6,-3.1,-0.4
2107,20.3,1.2,1.7
2108,10.3,-3.8,0.0
2109,9.9,-5.1,-1.5
2110,16.3,-3.1,-0.3
2111,17.5,1.8,1.4
2112,15.2,1.7,1.6
2113,19.3,0.1,0.4
2114,12.2,-0.8,0.5
2115,15.4,0.2,1.1
2116,13.4,-1.2,0.5
2117,11.8,-1.9,0.1
2118,12.0,-1.9,0.0
2119,12.9,2.1,1.9
2120,10.5,-4.5,-0.6
2121,10.6,-1.2,0.2
2122,9.7,-4.4,-1.0
2123,22.7,3.4,2.9
2124,14.6,-0.2,0.6
2125,8.0,-5.8,-0.1
2126,11.2,-1.9,0.0
2127,11.4,-0.8,0.4
2128,12.0,0.7,0.6
2129,12.6,-0.5,0.7
2130,5.9,-9.5,-0.1
2131,15.1,-1.0,0.4
2132,16.3,-1.0,0.1
2133,11.7,-3.0,-0.4
2134,12.9,-2.2,0.0
2135,11.5,-2.0,0.0
2136,-0.9,-10.7,-0.2
2137,17.6,3.6,1.8
2138,14.0,-0.4,0.9
2139,9.4,-4.1,-0.1
2140,13.3,-3.0,0.0
2141,8.9,-4.2,-0.1
2142,4.0,-5.8,-0.4
2143,19.2,0.3,1.3
2144,21.9,3.3,2.0
2145,1.0,-11.0,0.0
2146,6.3,-5.4,-0.5
2147,20.7,1.3,0.6
2148,16.6,2.2,0.1
2149,9.5,-5.3,-0.2
2150,16.4,3.3,3.1
2151,14.7,0.2,1.1
2152,16.6,-4.8,0.0
2153,17.2,0.6,0.3
2154,17.9,2.1,2.0
2155,10.4,-3.2,-0.2
2156,12.1,-3.7,-0.9
2157,16.1,-0.1,0.7
2158,4.1,-8.7,-0.3
2159,19.9,2.5,2.3
2160,18.8,-2.4,-0.1
2161,11.1,-1.6,0.1
2162,8.5,-4.0,-0.3
2163,17.1,0.9,1.2
2164,10.6,-7.3,0.0
2165,18.7,0.9,0.2
2166,11.1,-0.1,0.9
2167,12.6,-1.8,0.0
2168,14.8,1.5,1.1
2169,26.5,7.7,4.3
2170,9.0,-10.2,-0.1
2171,17.2,-1.0,0.0
2172,10.7,-0.5,0.7
2173,11.6,-0.6,0.5
2174,9.7,-2.6,0.0
2175,11.2,-3.1,0.0
2176,24.3,2.7,2.2
2177,11.7,-6.1,-0.1
2178,12.2,0.5,0.5
