player,vorp,per,bpm,class
Aaron Gordon,1.02,15.14,-1.6653345369377347e-17,1
Adreian Payne,0.0,16.6,0.050000000000000044,1
Al Horford,2.72,17.72,3.7,1
Al Jefferson,0.3,19.549999999999997,0.30000000000000004,1
Alan Williams,0.03333333333333333,20.566666666666666,1.8333333333333337,1
Alex Len,0.36,17.139999999999997,-0.7999999999999999,1
Andre Drummond,1.92,21.72,1.2,1
Ante Žižić,-0.06666666666666667,18.933333333333334,-1.8,1
Anthony Davis,4.8,27.24,6.959999999999999,1
Archie Goodwin,0.2,18.7,1.9,1
Bam Adebayo,2.35,19.15,2.4250000000000003,1
Ben Simmons,3.3499999999999996,19.675,3.65,1
Beno Udrih,0.3,16.2,0.3,1
Blake Griffin,2.18,17.6,1.6199999999999999,1
Boban Marjanović,0.45999999999999996,25.619999999999997,2.32,1
Bobby Portis,0.54,17.04,-0.54,1
Bogdan Bogdanović,1.0,15.075,0.525,1
Bojan Bogdanović,0.8800000000000001,14.62,-0.5,1
Bradley Beal,3.1399999999999997,21.04,2.94,1
Brandan Wright,0.4,18.75,1.9,1
Brandon Bass,0.4,19.7,0.4,1
Brandon Clarke,1.5,19.1,2.3,1
Brandon Ingram,0.68,14.74,-0.6599999999999999,1
Brice Johnson,0.0,17.7,-1.2,1
Brook Lopez,1.78,16.380000000000003,1.48,1
Buddy Hield,1.3599999999999999,14.84,0.32,1
CJ McCollum,2.2,18.34,1.72,1
Cameron Oliver,0.0,17.2,-2.0,1
Caris LeVert,0.58,15.059999999999999,-0.32,1
Cheick Diallo,0.07500000000000001,16.95,-1.775,1
Chris Boucher,1.0,21.599999999999998,2.6333333333333333,1
Chris Paul,3.8600000000000003,22.68,5.74,1
Christian Wood,0.7250000000000001,20.05,0.575,1
Clint Capela,2.02,22.919999999999998,2.34,1
Cody Zeller,0.54,17.36,-0.4,1
D'Angelo Russell,1.3599999999999999,17.240000000000002,0.9800000000000001,1
Dakari Johnson,0.1,16.4,-0.3,1
Damian Lillard,5.6,25.1,6.4799999999999995,1
Daniel Gafford,0.45,19.2,0.45000000000000007,1
Daniel Theis,0.875,16.5,0.6749999999999999,1
Danilo Gallinari,1.7799999999999998,17.6,1.92,1
Darren Collison,1.7,16.933333333333334,1.2000000000000002,1
David Lee,1.4,18.5,1.8,1
David Stockton,0.0,33.9,7.9,1
David West,1.15,18.75,2.95,1
De'Aaron Fox,1.2,17.65,0.22499999999999998,1
DeAndre Jordan,2.02,19.6,2.16,1
