,id,player,u_player,vorp,per,bpm
0,1,Álex Abrines,Álex Abrines 2016-17,0.1,10.1,-1.6
1,2,Quincy Acy,Quincy Acy 2016-17,0.0,11.8,-2.1
2,3,Steven Adams,Steven Adams 2016-17,1.1,16.5,-0.2
3,4,Arron Afflalo,Arron Afflalo 2016-17,-0.7,8.9,-3.6
4,5,Alexis Ajinça,Alexis Ajinça 2016-17,-0.2,12.9,-3.3
5,6,Cole Aldrich,Cole Aldrich 2016-17,0.2,12.7,-0.8
6,7,LaMarcus Aldridge,LaMarcus Aldridge 2016-17,1.7,18.6,0.8
7,8,Lavoy Allen,Lavoy Allen 2016-17,0.1,11.6,-1.7
8,9,Tony Allen,Tony Allen 2016-17,0.5,13.3,-1.0
9,10,Al-Farouq Aminu,Al-Farouq Aminu 2016-17,0.4,11.3,-1.1
10,11,Chris Andersen,Chris Andersen 2016-17,0.0,11.6,-2.5
11,12,Alan Anderson,Alan Anderson 2016-17,-0.3,5.0,-6.1
12,13,Justin Anderson,Justin Anderson 2016-17,0.2,13.9,-1.3
13,14,Kyle Anderson,Kyle Anderson 2016-17,1.0,12.5,1.8
14,15,Ryan Anderson,Ryan Anderson 2016-17,0.9,13.5,-0.4
15,16,Giannis Antetokounmpo,Giannis Antetokounmpo 2016-17,6.7,26.1,7.3
16,17,Carmelo Anthony,Carmelo Anthony 2016-17,1.7,17.9,0.7
17,18,Joel Anthony,Joel Anthony 2016-17,0.0,11.6,-2.1
18,19,Trevor Ariza,Trevor Ariza 2016-17,2.1,12.4,1.0
19,20,Darrell Arthur,Darrell Arthur 2016-17,0.3,12.8,-0.1
20,21,Ömer Aşık,Ömer Aşık 2016-17,-0.2,9.8,-3.7
21,22,D.J. Augustin,D.J. Augustin 2016-17,-0.4,11.0,-3.0
22,23,Luke Babbitt,Luke Babbitt 2016-17,0.0,8.3,-2.0
23,24,Ron Baker,Ron Baker 2016-17,-0.6,7.5,-4.7
24,25,Wade Baldwin,Wade Baldwin 2016-17,-0.3,6.5,-5.5
25,26,Leandro Barbosa,Leandro Barbosa 2016-17,-0.1,11.5,-2.5
26,27,J.J. Barea,J.J. Barea 2016-17,0.7,17.2,1.5
27,28,Harrison Barnes,Harrison Barnes 2016-17,0.8,16.3,-0.8
28,29,Matt Barnes,Matt Barnes 2016-17,0.3,10.3,-1.4
29,30,Will Barton,Will Barton 2016-17,1.0,15.5,0.2
30,31,Brandon Bass,Brandon Bass 2016-17,0.4,19.7,0.4
31,32,Nicolas Batum,Nicolas Batum 2016-17,1.9,15.8,0.8
32,33,Jerryd Bayless,Jerryd Bayless 2016-17,0.0,8.7,-4.4
33,34,Aron Baynes,Aron Baynes 2016-17,-0.2,13.1,-2.7
34,35,Kent Bazemore,Kent Bazemore 2016-17,0.5,11.5,-1.0
35,36,Bradley Beal,Bradley Beal 2016-17,3.5,20.1,3.3
