player,g,gs,mp,fg,fga,fg_perc,threepoint,threepoint_att,threepoint_perc,twopoint,twopoint_att,twopoint_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,bpm,vorp
A.J. Hammons,22.0,0.0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2,8.4,-6.6,-0.2
Aaron Brooks,48.5,0.5,9.850000000000001,1.4,3.4,0.4045,0.5,1.5,0.365,0.8,1.9,0.4355,0.4845,0.4,0.44999999999999996,0.7635000000000001,0.25,0.55,0.8,1.25,0.30000000000000004,0.05,0.65,1.15,3.65,9.65,-3.75,-0.25
Aaron Gordon,65.6,63.8,31.119999999999997,5.4799999999999995,12.3,0.4474,1.4,4.18,0.32320000000000004,4.12,8.1,0.5102,0.5024,2.2800000000000002,3.28,0.6946,1.58,5.14,6.76,2.96,0.8,0.6599999999999999,1.7,2.02,14.62,15.14,-1.6653345369377347e-17,1.02
Aaron Harrison,7.0,1.5,14.649999999999999,1.05,4.25,0.1375,0.5,2.6,0.1045,0.55,1.65,0.1925,0.1705,0.7999999999999999,1.15,0.6325000000000001,0.2,1.4000000000000001,1.6500000000000001,0.8999999999999999,0.5,0.1,0.15,1.7,3.45,1.4499999999999997,-9.65,-0.15
Aaron Holiday,60.666666666666664,13.666666666666666,18.400000000000002,2.733333333333333,6.766666666666666,0.40166666666666667,1.0666666666666667,2.8666666666666667,0.367,1.6666666666666667,3.9,0.4306666666666667,0.48033333333333333,0.9666666666666668,1.2,0.83,0.19999999999999998,1.4333333333333336,1.6666666666666667,2.3333333333333335,0.6333333333333333,0.2333333333333333,1.0333333333333334,1.5333333333333332,7.533333333333334,10.9,-2.466666666666667,-0.1333333333333333
Aaron Nesmith,46.0,1.0,14.5,1.7,3.9,0.438,0.9,2.3,0.37,0.8,1.5,0.543,0.551,0.5,0.6,0.786,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,4.7,9.4,-3.2,-0.2
Abdel Nader,47.0,2.0,13.225000000000001,1.775,4.05,0.4295,0.675,1.775,0.367,1.15,2.3,0.481,0.5097499999999999,0.75,1.025,0.7175,0.275,1.7,1.95,0.575,0.35,0.30000000000000004,0.675,1.2,5.0,9.65,-2.375,-0.05
Adam Mokoka,12.5,0.0,7.1,0.8,1.95,0.39849999999999997,0.3,1.0499999999999998,0.25,0.45,0.8999999999999999,0.5645,0.4655,0.1,0.25,0.25,0.35,0.3,0.65,0.4,0.25,0.05,0.30000000000000004,0.95,2.0,5.199999999999999,-6.7,-0.1
Admiral Schofield,33.0,2.0,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5,0.9,0.516,0.484,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0,6.1,-5.5,-0.3
Adreian Payne,11.5,0.0,8.05,1.35,2.5,0.563,0.30000000000000004,0.7,0.4335,1.05,1.8,0.6134999999999999,0.627,0.9,1.15,0.7849999999999999,0.45,1.35,1.8,0.2,0.4,0.2,0.4,1.5,3.85,16.6,0.050000000000000044,0.0
